Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note;SQ
49179;1;268;714;118;1672;10;ES;2
49179;1;601;1672;815;849;10;ES;1
49179;2;470;852;2843;1106;31;ES;4
49179;2;726;771;1083;1106;31;ES;4
49179;2;1041;2843;5384;1025;31;PP;4
49179;3;1036;3331;957;3865;31;ES;4
50166;1;376;6162;2825;5933;124;ES;3
50166;2;1027;916;343;427;12;ES;3
50166;3;104;5726;916;427;12;ES;1
50166;3;357;5726;1209;6399;12;ES;2
50166;3;916;5891;6027;343;12;ES;2
49167;1;288;1024;;;3;ES;4
49167;2;272;2826;1425;553;26;ES;2
49167;2;1060;6445;6205;6100;26;PP;2
49167;3;298;1007;2526;5866;3;PP;3
49167;OT1;212;2826;1627;6205;26;ES;4
50167;1;895;581;5473;;29;PP;3
50167;2;291;5473;1459;1764;29;ES;4
50167;2;423;5862;1375;8185;21;ES;2
50167;2;443;5473;2035;5869;29;ES;4
50167;3;80;6466;581;1817;29;PP;4
49168;1;41;1656;959;790;19;ES;2
49168;1;956;2959;1350;1867;23;PP;3
49168;1;1063;1403;6444;1867;23;PP;4
49168;2;368;2527;5898;6335;19;ES;2
49168;3;374;6119;5898;5951;19;ES;2
49168;3;743;5951;6335;5871;19;ES;3
49168;3;1157;6119;5871;5394;19;SH, ENG;3
49165;1;143;7063;6344;2829;2;ES;1
49165;1;587;1359;7063;689;2;ES;2
49165;1;1131;1648;6344;5182;2;ES;4
49165;2;244;5182;2829;1217;2;ES;2
49165;2;653;5182;1999;6344;2;ES;2
49165;2;1060;5182;1648;1763;2;ES;2
49165;3;706;5864;1113;6426;28;ES;4
49198;1;46;1429;1576;1472;30;ES;2
49198;1;497;824;764;853;9;ES;2
49198;3;298;1292;5894;;9;ES;3
49198;3;420;1429;215;758;30;ES;4
49198;3;766;5868;6433;2730;30;ES;3
49198;3;1192;2950;5605;1569;30;ES, ENG;3
50187;1;31;5857;;;0;ES;3
50187;1;267;5902;;;152;ES;3
50187;1;427;3223;1087;2033;152;SH;2
50187;2;170;5885;1842;1400;0;PP;1
50187;3;158;3412;1087;5912;152;PP;3
50187;3;747;7606;5661;1924;0;ES;4
50187;3;801;5885;1400;1842;0;PP;1
50187;3;1197;6105;3598;7606;0;ES, ENG;3
49174;1;83;5535;819;5946;20;ES;1
49174;1;276;209;2859;519;25;ES;2
49174;2;73;819;1173;1553;20;ES;4
49174;2;1077;6011;5736;1252;25;ES;1
49174;3;381;5905;5876;6565;20;PP;2
49174;3;583;5535;6565;5899;20;ES;1
49174;3;858;5899;1448;6565;20;ES;3
49178;1;322;1590;1877;1927;21;ES;2
49178;1;402;6565;5535;;20;ES;2
49178;1;667;1766;819;1553;20;ES;3
49178;1;914;5876;1404;1152;20;ES;4
49178;2;439;6565;5905;1448;20;PP;2
49178;3;363;1149;5509;1868;21;ES;4
49178;3;1196;5876;545;1173;20;ES, ENG;3
49175;1;35;3299;473;1976;1;ES;2
49175;1;376;1459;;;29;ES;1
49175;2;893;1976;7613;3299;1;PP;3
49175;2;1135;5869;6466;5473;29;ES;3
49195;1;170;5498;1212;6336;12;ES;3
49195;1;447;1930;;;24;PP;3
49195;1;801;5669;794;;24;ES;2
49195;2;476;823;398;916;12;ES;3
49195;2;811;1902;2722;6436;24;ES;3
49195;2;904;916;;;12;ES;4
49195;2;1038;5891;823;343;12;ES;3
49195;3;765;2017;427;916;12;ES;1
49195;3;1098;928;1883;966;24;ES;2
49195;3;1186;3401;697;5726;12;ES, ENG;3
49189;1;709;6447;1773;1340;9;ES;3
49189;1;844;766;;;7;ES;2
49189;1;1070;1292;6191;1587;9;ES;2
49189;2;353;1760;1773;1260;9;ES;4
49189;2;840;6431;1990;766;7;ES;3
49189;2;912;5865;231;1769;7;ES;2
49189;3;221;853;2846;5917;9;ES;1
49189;3;248;1385;921;1165;7;ES;2
49189;3;1100;6191;1773;1393;9;ES;3
49189;3;1114;921;5865;1595;7;ES;2
49185;1;378;1232;;;8;ES;2
49185;1;561;1096;946;;17;ES;3
49185;1;1200;6432;5858;1750;8;ES;3
49185;2;383;1526;512;6437;17;ES;1
49185;2;924;1096;6437;340;17;ES;3
49185;3;1001;6216;340;1415;17;ES;2
49185;3;1198;802;1096;1748;17;ES, ENG;2
49327;1;19;5879;5912;1916;152;ES;2
49327;1;549;3412;5879;1916;152;PP;2
49327;1;998;5912;1258;5879;152;ES;3
49327;2;86;1391;1029;5661;0;ES;3
49327;2;839;1258;5902;971;152;ES;2
49327;3;52;5879;5912;1426;152;ES;2
49164;2;137;1230;1763;1648;2;ES;3
49164;2;372;2003;5859;7063;2;ES;3
49164;2;648;1359;689;1230;2;ES;4
49164;3;54;7605;2003;2829;2;ES;4
49166;2;476;1103;491;1100;27;ES;3
49166;2;685;6501;834;1103;27;ES;1
49166;2;739;361;;;27;ES;4
49166;2;844;1128;1566;491;27;PP;1
49166;2;923;1103;2091;;27;ES;3
49166;2;993;1662;1128;6457;27;ES;4
49166;2;1194;6381;2091;6501;27;ES;4
49166;3;252;361;6501;;27;ES;3
49190;1;579;6462;1007;;3;ES;1
49190;1;954;5866;2005;2526;3;ES;2
49190;1;1031;1007;2526;5866;3;PP;3
49190;2;558;1826;815;1808;10;ES;1
49190;2;613;5874;815;6435;10;ES;1
49190;2;714;1398;1954;1339;10;ES;2
49190;2;981;5900;1804;881;3;ES;3
49190;3;23;714;118;1616;10;ES;3
49190;3;1027;714;1398;1339;10;ES;1
49190;3;1087;849;729;3888;10;ES;2
