Game Id;PlayerId;TeamId;Game Rating;Game Rating Off;Game Rating Def;G;A;+/-;SOG;MS;BS;PIM;HT;TK;GV;SHF;TOT;PP;SH;EV;FOW;FOL;FO%;Team Shots on;Team Shots Against on;Team Shots Missed on;Team Shots Missed Against on;Team Shots Blocked on;Team Shots Blocked Against on;Team Goals on;Team Goal Against on;Team Shots off;Team Shots Against off;Team Shots Missed off;Team Shots Missed Against off;Team Shots Blocked off;Team Shots Blocked Against off;Team Goals off;Team Goal Against off;OZ Starts;NZ Starts;DZ Starts;Team OZ Starts;Team NZ Starts;Team DZ Starts;SQ0SQ1SQ2SQ3SQ4
65517;689;2;71.9575;81.605;48.6;0;3;1;0;0;0;0;2;0;1;11;888;79;0;809;0;0;0;13;4;3;0;1;3;2;1;32;15;4;3;15;7;4;1;4;9;1;17;24;6;00000
65517;739;23;45.1;50;38;0;0;-2;0;0;0;0;0;0;2;6;641;0;0;641;0;0;0;1;14;0;4;1;6;0;2;18;31;3;3;9;10;2;4;1;6;5;6;24;17;00000
65517;1217;23;54.356;50.065;42.9;0;0;-2;0;0;0;0;1;0;0;6;659;0;26;632;6;7;46.2;1;15;0;4;1;4;0;2;18;30;3;3;9;12;2;4;2;5;6;6;24;17;00000
65517;1350;23;61.418;58.995;63.767;0;0;-2;0;0;1;0;0;1;0;19;1438;192;38;1208;0;0;0;4;19;0;5;3;3;0;2;15;26;3;2;7;13;2;4;4;10;6;6;24;17;01000
65517;1359;2;82.0155;81.51;76.351;1;1;1;1;1;0;0;2;2;0;15;968;101;17;848;1;0;100.0;16;2;3;0;3;2;1;0;29;17;4;3;13;8;5;2;3;11;1;17;24;6;01010
65517;1403;23;66.768;65.55;67.518;1;0;1;2;0;0;0;0;1;2;17;957;163;0;794;0;0;0;5;8;0;1;4;1;1;0;14;37;3;6;6;15;1;6;3;6;1;6;24;17;00101
65517;1648;2;60.9365;52.25;70.785;0;0;0;1;0;0;0;0;1;0;10;451;0;0;451;1;2;33.3;6;3;4;1;2;0;0;0;39;16;3;2;14;10;6;2;3;3;1;17;24;6;00001
65517;1763;2;59.8665;61.37;47.3;1;0;0;5;0;0;0;1;0;0;17;1126;0;124;1001;0;0;0;10;7;1;1;4;3;1;1;35;12;6;2;12;7;5;1;0;6;3;17;24;6;02300
65517;1851;2;73.0275;72.58;67.881;0;2;2;4;2;0;0;2;0;2;15;1036;91;174;770;6;8;42.9;10;2;3;0;5;1;2;0;35;17;4;3;11;9;4;2;4;9;3;17;24;6;00321
65517;1867;23;46.85;52.535;39.2;0;0;-3;1;0;0;2;1;0;1;16;932;19;26;886;6;3;66.7;4;14;0;1;2;4;0;3;15;31;3;6;8;12;2;3;2;8;5;6;24;17;00010
65517;1900;23;59.7595;51.68;69.091;0;0;-2;1;0;2;0;1;1;2;14;977;51;0;925;1;2;33.3;3;14;0;0;2;4;0;2;16;31;3;7;8;12;2;4;2;7;3;6;24;17;21000
65517;1999;2;49.5;53.58;44.2;0;0;1;1;0;0;2;1;0;0;19;1263;0;87;1176;0;0;0;11;9;2;1;6;5;2;1;34;10;5;2;10;5;4;1;4;11;1;17;24;6;00100
65517;2413;2;56.8705;53.485;50;0;0;0;1;3;0;0;0;0;0;5;418;0;0;418;0;0;0;6;2;3;1;0;0;0;0;39;17;4;2;16;10;6;2;2;1;0;17;24;6;00112
65517;2959;23;57.673;56.24;64.13;0;1;1;2;0;0;4;0;0;1;17;1168;238;0;929;3;6;33.3;8;8;1;2;5;3;1;0;11;37;2;5;5;13;1;6;2;5;2;6;24;17;00101
65517;5182;2;77.896;77.045;78.045;2;0;3;4;0;0;0;5;1;0;9;684;0;0;684;0;0;0;11;6;0;0;7;3;3;0;34;13;7;3;9;7;3;2;6;4;0;17;24;6;01201
65517;5383;2;59.2245;56.62;61.831;0;0;0;3;0;0;0;2;0;0;17;1054;18;96;939;0;0;0;10;6;1;2;4;4;1;1;35;13;6;1;12;6;5;1;0;4;3;17;24;6;02100
65517;5465;23;60.2945;53.675;68.002;0;0;0;1;0;1;0;1;0;0;14;810;0;58;751;0;0;0;4;9;1;1;1;6;0;0;15;36;2;6;9;10;2;6;2;4;3;6;24;17;11000
65517;5509;23;61.632;54.53;69.938;0;0;-2;0;0;2;0;2;0;0;18;1378;0;215;1163;0;0;0;5;21;0;5;5;2;0;2;14;24;3;2;5;14;2;4;2;10;11;6;24;17;20000
65517;5730;2;64.307;53.39;78.166;0;0;0;1;0;0;0;0;1;0;11;565;0;158;407;2;1;66.7;6;2;3;1;2;0;0;0;39;17;4;2;14;10;6;2;3;3;2;17;24;6;00001
65517;5811;23;54.356;56.81;43.8;0;0;-1;3;0;2;0;2;0;0;16;1013;0;0;1013;0;0;0;10;13;2;1;4;7;2;3;9;32;1;6;6;9;0;3;0;10;3;6;24;17;13100
65517;5859;2;71.1015;65.55;77.077;0;1;3;6;0;0;0;1;2;0;23;1346;233;74;1038;0;0;0;25;5;4;0;6;1;3;0;20;14;3;3;10;9;3;2;13;9;2;17;24;6;04200
65517;5868;23;75.863;78.28;71.874;0;1;0;1;0;0;0;2;0;0;18;1080;171;0;909;0;0;0;7;8;1;2;5;2;1;1;12;37;2;5;5;14;1;5;2;5;2;6;24;17;01000
