PlayerId;Year;Team Id;League Id;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
0;2026;12;9999;0;0;0;0;0;0;0;0;0;0
8;2022;58;9999;0;0;0;0;0;0;0;0;0;0
8;2024;58;9999;12;44178;6;6;0;1;1;38;351;66
8;2025;58;9999;1;1107;0;0;0;0;0;0;7;62
102;2021;98;9999;2;3697;0;0;0;1;0;3;21;58
150;2021;60;9999;21;77557;16;4;1;1;2;44;577;70
150;2022;60;9999;5;15512;1;4;0;0;0;16;135;58
150;2023;60;9999;1;304;0;0;0;0;0;0;1;49
150;2024;18;9999;5;16134;3;2;0;1;0;18;188;73
294;2021;31;9999;8;32694;4;2;2;0;1;23;192;62
294;2022;31;9999;18;63692;11;5;2;4;1;59;528;67
294;2023;31;9999;5;14172;2;2;0;0;0;13;144;72
294;2024;14;9999;25;91185;15;7;3;2;0;75;778;72
294;2025;14;9999;0;0;0;0;0;0;0;0;0;0
294;2026;48;9999;0;0;0;0;0;0;0;0;0;0
384;2021;19;9999;10;35800;4;6;0;1;0;24;198;59
384;2022;19;9999;3;10850;1;1;1;0;0;8;63;60
384;2025;26;9999;7;24603;3;2;2;0;2;20;264;80
443;2021;56;9999;5;18832;1;3;1;0;0;19;233;77
443;2022;56;9999;9;32594;4;5;0;1;0;25;241;62
443;2023;21;9999;5;17523;3;2;0;0;0;15;173;80
443;2026;56;9999;6;21600;2;4;0;0;0;22;194;60
455;2021;39;9999;14;52714;7;5;2;0;0;46;470;68
455;2022;39;9999;25;92648;13;9;3;1;1;77;946;77
455;2026;45;9999;7;25135;3;3;1;0;1;19;220;73
457;2021;38;9999;20;72937;12;7;1;1;1;57;558;65
457;2022;38;9999;19;69427;11;7;1;2;1;59;573;68
457;2023;36;9999;0;0;0;0;0;0;0;0;0;0
526;2021;59;9999;0;0;0;0;0;0;0;0;0;0
526;2022;59;9999;4;13807;1;2;0;1;0;18;136;61
526;2026;59;9999;15;50132;8;6;1;1;2;39;480;73
530;2021;12;9999;6;21445;2;4;0;2;1;16;153;66
530;2022;12;9999;6;22500;2;2;2;0;2;16;132;61
531;2021;32;9999;0;0;0;0;0;0;0;0;0;0
536;2021;5;9999;6;21949;2;3;1;0;0;20;164;63
536;2022;5;9999;10;31871;6;4;0;1;0;26;260;68
536;2024;7;9999;3;6779;1;1;0;0;0;7;44;50
536;2025;3;9999;4;14300;2;2;0;2;0;9;126;82
536;2026;27;9999;15;48065;8;6;0;2;0;44;420;67
540;2021;56;9999;0;0;0;0;0;0;0;0;0;0
540;2022;56;9999;0;0;0;0;0;0;0;0;0;0
551;2021;18;9999;0;0;0;0;0;0;0;0;0;0
551;2022;18;9999;0;0;0;0;0;0;0;0;0;0
551;2024;50;9999;0;0;0;0;0;0;0;0;0;0
551;2025;50;9999;4;11767;0;4;0;0;0;18;129;50
567;2021;29;9999;6;21523;2;4;0;1;0;20;177;67
567;2025;18;9999;5;15765;3;2;0;0;1;11;134;74
613;2022;40;9999;11;41601;9;1;1;0;0;29;388;77
613;2023;40;9999;7;23929;3;4;0;0;1;24;284;79
613;2024;26;9999;0;0;0;0;0;0;0;0;0;0
613;2025;53;9999;0;0;0;0;0;0;0;0;0;0
650;2021;55;9999;17;61692;9;5;2;1;1;47;542;71
650;2022;55;9999;0;0;0;0;0;0;0;0;0;0
650;2023;55;9999;0;0;0;0;0;0;0;0;0;0
650;2024;55;9999;0;0;0;0;0;0;0;0;0;0
650;2025;33;9999;11;37059;6;5;0;0;1;32;336;70
668;2023;48;9999;12;43575;7;3;2;0;1;24;335;74
668;2024;48;9999;13;48605;8;4;1;1;0;42;476;74
668;2025;48;9999;5;17911;1;4;0;1;0;21;186;61
690;2023;53;9999;22;79479;12;9;1;3;4;55;624;70
690;2026;18;9999;6;22935;3;2;1;0;0;15;161;71
703;2024;1;9999;1;3848;0;0;1;0;0;3;31;75
704;2025;27;9999;2;4638;0;1;0;1;0;5;38;56
737;2021;75;9999;20;70949;10;9;1;0;0;55;598;68
737;2022;75;9999;0;0;0;0;0;0;0;0;0;0
737;2023;50;9999;0;0;0;0;0;0;0;0;0;0
737;2024;41;9999;3;12206;0;2;1;0;0;12;93;58
738;2022;39;9999;0;0;0;0;0;0;0;0;0;0
738;2025;18;9999;9;32076;3;4;1;1;0;30;286;71
738;2026;18;9999;8;28579;3;2;2;0;0;28;257;66
762;2021;53;9999;0;0;0;0;0;0;0;0;0;0
762;2026;25;9999;9;26859;3;5;0;2;0;22;240;71
830;2021;32;9999;7;26679;3;4;0;0;0;23;256;70
830;2022;32;9999;10;34696;6;2;2;0;0;26;313;72
830;2023;32;9999;17;66183;10;4;3;1;1;40;547;76
830;2025;32;9999;11;36382;6;5;0;1;1;28;326;73
862;2026;2;9999;7;27490;3;3;1;3;0;22;258;77
863;2021;46;9999;19;69724;11;6;2;1;0;53;584;68
863;2022;40;9999;5;18137;2;2;1;0;0;22;151;57
863;2023;40;9999;1;1297;0;0;0;0;0;3;9;30
864;2024;36;9999;0;0;0;0;0;0;0;0;0;0
879;2024;31;9999;1;429;0;0;0;0;0;0;4;56
888;2021;30;9999;27;98532;16;7;4;1;1;77;681;65
888;2022;30;9999;6;22432;3;2;1;0;0;14;144;68
888;2023;30;9999;14;53377;7;7;0;3;0;27;433;83
888;2024;30;9999;1;3600;0;1;0;0;0;4;33;66
888;2025;31;9999;1;745;0;0;0;0;0;0;5;58
888;2026;31;9999;20;74135;10;8;2;3;1;53;745;84
889;2021;18;9999;11;41606;5;4;2;0;0;42;330;62
889;2022;18;9999;28;102388;15;11;2;8;2;67;734;72
889;2023;18;9999;11;39755;4;3;2;2;0;21;300;74
889;2024;18;9999;10;35808;4;3;2;1;0;27;375;87
889;2026;62;9999;0;0;0;0;0;0;0;0;0;0
892;2021;31;9999;6;21772;3;3;0;1;0;20;152;58
892;2022;31;9999;1;2149;0;0;0;0;0;0;20;83
892;2024;53;9999;2;5604;0;0;0;0;0;7;69;67
892;2025;53;9999;5;18325;1;3;1;0;0;17;203;78
904;2023;60;9999;12;45487;5;5;2;1;0;36;383;68
904;2025;60;9999;0;0;0;0;0;0;0;0;0;0
929;2026;8;9999;2;7200;0;2;0;0;0;9;53;48
930;2022;86;9999;6;22393;2;3;1;0;0;26;209;60
930;2023;55;9999;7;25968;3;3;1;0;1;25;222;64
930;2024;55;9999;5;17913;1;4;0;0;1;19;163;61
930;2026;55;9999;13;47303;6;7;0;2;3;37;347;66
933;2025;27;9999;13;46452;6;4;2;0;0;41;371;65
945;2023;30;9999;0;0;0;0;0;0;0;0;0;0
945;2024;30;9999;18;67111;10;5;3;2;1;54;558;72
945;2025;30;9999;13;52957;7;3;3;1;1;32;381;75
945;2026;30;9999;15;52856;10;4;1;0;1;37;400;71
952;2021;20;9999;18;65965;10;7;1;1;2;51;444;63
952;2022;20;9999;26;96202;16;9;1;2;3;58;667;72
952;2023;20;9999;13;45509;7;4;2;1;1;35;373;72
952;2024;20;9999;13;47023;7;6;0;1;1;38;458;79
952;2025;20;9999;7;25026;3;4;0;0;1;19;227;78
952;2026;20;9999;7;25880;3;3;1;2;0;22;224;73
