PlayerId;Year;TeamId;LeagueId;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
51;2021;22;9999;1;3225;0;0;0;0;0;5;21;31
67;2021;14;9999;0;0;0;0;0;0;0;0;0;0
991;2021;54;9999;0;0;0;0;0;0;0;0;0;0
2144;2021;39;9999;1;338;0;0;0;0;0;0;3;51
188;2022;55;9999;5;18347;1;2;2;0;1;17;163;67
256;2021;43;9999;1;3016;0;0;0;0;0;4;25;47
259;2022;46;9999;0;0;0;0;0;0;0;0;0;0
781;2021;5;9999;0;0;0;0;0;0;0;0;0;0
781;2022;5;9999;3;7634;0;1;0;1;0;8;65;59
5844;2021;20;9999;2;7357;1;1;0;0;0;6;59;71
276;2022;40;9999;0;0;0;0;0;0;0;0;0;0
14;2023;21;9999;3;7709;0;1;1;1;0;6;73;73
78;2021;27;9999;0;0;0;0;0;0;0;0;0;0
78;2023;36;9999;7;25459;3;4;0;2;0;23;264;77
147;2021;12;9999;0;0;0;0;0;0;0;0;0;0
147;2023;32;9999;0;0;0;0;0;0;0;0;0;0
159;2021;57;9999;0;0;0;0;0;0;0;0;0;0
159;2022;12;9999;0;0;0;0;0;0;0;0;0;0
191;2021;30;9999;0;0;0;0;0;0;0;0;0;0
191;2022;30;9999;1;3782;0;0;1;0;0;3;21;56
191;2023;57;9999;1;2036;0;0;0;0;0;0;14;72
799;2021;43;9999;4;11292;0;4;0;1;0;16;109;54
2237;2021;46;9999;2;918;0;0;0;0;0;0;9;55
363;2021;49;9999;0;0;0;0;0;0;0;0;0;0
422;2021;49;9999;4;14553;0;3;1;0;0;13;119;64
422;2023;38;9999;0;0;0;0;0;0;0;0;0;0
3915;2021;37;9999;12;43178;5;6;1;1;0;31;340;64
3915;2022;57;9999;0;0;0;0;0;0;0;0;0;0
104;2021;14;9999;21;79204;11;9;1;4;0;60;539;64
104;2022;14;9999;4;14481;2;2;0;0;1;9;100;72
115;2021;22;9999;7;21830;3;4;0;2;0;21;163;59
115;2023;3;9999;5;11222;1;0;1;0;0;9;111;70
275;2021;17;9999;0;0;0;0;0;0;0;0;0;0
275;2022;17;9999;0;0;0;0;0;0;0;0;0;0
275;2023;17;9999;0;0;0;0;0;0;0;0;0;0
275;2024;17;9999;0;0;0;0;0;0;0;0;0;0
279;2023;57;9999;22;80040;16;5;1;0;4;44;529;68
282;2023;10;9999;1;893;0;0;0;0;0;0;6;58
282;2024;54;9999;0;0;0;0;0;0;0;0;0;0
418;2022;0;9999;5;17983;1;3;1;0;0;22;180;67
488;2021;55;9999;1;1456;1;0;0;0;0;0;14;66
488;2024;34;9999;6;21580;2;4;0;0;0;22;203;67
564;2021;54;9999;6;23401;2;3;1;1;1;16;216;71
854;2021;27;9999;7;25689;3;3;1;0;1;16;181;73
854;2022;27;9999;1;2822;0;1;0;0;0;6;31;40
854;2023;27;9999;6;19972;1;4;0;2;0;21;165;60
854;2024;27;9999;1;3600;0;1;0;0;0;6;30;38
