PlayerId;Year;TeamId;LeagueId;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
2139;2021;27;0;9;31955;3;3;2;0;1;28;224;62
2139;2021;53;1;4;13215;3;0;0;0;0;5;94;74
2139;2021;44;1;18;64072;7;7;3;0;0;60;572;65
2258;2021;58;1;18;60829;3;9;3;2;0;56;684;76
12;2021;24;0;53;191153;25;24;4;6;8;120;1420;74
51;2021;22;0;19;69440;11;6;2;4;1;39;490;74
64;2021;41;1;32;109356;11;16;2;3;0;100;1146;73
67;2021;14;0;26;91536;13;11;1;0;2;62;611;67
280;2021;52;1;41;142414;12;21;5;3;2;117;1263;67
623;2021;34;1;30;107947;12;15;2;1;0;95;957;66
991;2021;54;1;31;107664;16;9;3;2;1;72;830;68
2144;2021;39;1;22;76635;9;9;3;3;1;52;626;70
168;2021;15;0;51;182943;20;23;7;4;6;116;1311;71
168;2022;15;0;56;185840;17;27;8;6;2;181;1744;69
2152;2021;47;1;4;14358;3;1;0;1;0;8;109;72
55;2021;13;0;51;187358;26;18;7;5;7;110;1225;70
55;2022;13;0;39;128393;14;18;3;2;0;123;958;60
98;2021;7;0;33;120092;14;14;5;2;3;78;851;70
98;2022;7;0;24;72435;3;16;0;4;0;91;683;59
145;2021;24;0;31;107089;14;12;3;1;5;64;827;74
145;2022;24;0;63;219373;29;26;7;3;5;205;1942;69
188;2022;55;1;47;164912;27;17;1;3;4;118;1400;71
188;2021;33;1;42;149260;21;19;2;1;3;113;1436;76
256;2021;43;1;26;83272;12;9;1;1;1;72;658;61
256;2022;51;1;17;54989;6;10;0;2;1;62;512;60
259;2021;0;0;53;190998;19;30;4;11;3;134;1298;66
259;2022;46;1;22;73847;8;12;0;2;0;64;715;71
781;2021;5;0;23;81370;10;11;2;1;0;53;525;65
781;2022;5;0;25;83483;13;9;1;1;0;80;681;64
789;2021;8;0;28;96091;8;16;2;1;3;83;809;69
789;2022;8;0;30;88792;6;17;2;6;0;87;876;69
5844;2021;20;0;28;101986;19;6;3;0;5;50;742;79
5844;2022;20;0;11;39631;5;5;1;0;1;32;285;67
5844;2022;14;0;1;3548;0;1;0;0;0;5;29;47
225;2021;42;1;43;143914;18;18;4;1;1;146;1284;62
276;2021;44;1;10;33745;7;3;0;0;1;19;265;71
355;2021;40;1;1;3600;1;0;0;0;0;1;24;75
14;2021;21;0;51;179542;22;22;5;3;4;117;1229;68
14;2022;21;0;40;138779;19;12;6;3;0;115;1044;65
14;2023;21;0;53;179442;29;19;2;6;3;164;1733;75
78;2021;53;1;19;65179;5;12;1;1;0;64;585;66
78;2021;27;0;27;95471;16;6;4;0;2;53;688;75
78;2022;27;0;12;38053;4;5;0;2;0;47;301;54
78;2022;3;0;22;76389;6;13;2;6;1;60;535;65
78;2023;36;1;42;153704;19;17;6;2;4;123;1383;73
78;2023;3;0;1;3900;1;0;0;0;0;6;48;72
147;2021;12;0;20;72298;10;8;2;1;2;47;517;71
147;2022;23;0;33;115426;11;18;3;2;2;99;834;62
147;2023;32;1;20;67306;8;10;1;1;0;59;535;60
159;2021;57;1;28;98738;20;6;1;1;0;74;755;66
159;2022;12;0;22;76181;12;7;2;1;2;49;482;66
159;2023;57;1;5;18087;2;3;0;0;0;14;127;60
159;2023;12;0;8;24459;2;5;0;1;0;32;248;61
191;2021;30;0;39;138855;24;13;2;3;7;84;896;69
191;2022;30;0;33;117869;16;15;2;4;2;99;877;65
191;2023;57;1;1;3600;1;0;0;0;0;2;22;74
191;2023;12;0;49;159654;12;27;5;4;1;185;1614;68
799;2021;43;1;46;163567;29;14;3;2;4;129;1365;69
799;2022;43;1;52;178997;27;18;5;3;2;142;1527;69
799;2023;43;1;18;61554;9;8;1;2;1;55;594;70
2237;2021;46;1;24;83108;16;6;1;2;4;53;653;71
2237;2022;46;1;2;7500;0;1;1;0;0;8;75;63
363;2021;49;1;23;78466;11;9;1;1;0;64;671;69
363;2022;49;1;23;71520;12;7;1;0;1;53;674;72
422;2021;49;1;50;178457;25;20;5;1;2;145;1555;69
422;2022;34;1;48;157112;18;26;2;4;2;139;1512;69
422;2023;38;1;31;109581;17;10;3;2;1;69;897;71
422;2024;38;1;4;14343;2;2;0;0;0;9;106;68
2247;2021;36;1;12;38031;7;3;1;1;0;33;315;60
2313;2021;44;1;9;32971;5;2;2;0;1;23;291;75
3915;2022;57;1;25;79394;13;7;1;0;2;60;700;69
104;2021;14;0;57;205149;31;22;4;5;7;127;1364;69
104;2022;14;0;31;107325;20;9;0;4;1;84;789;66
104;2023;0;0;29;103356;14;13;2;6;3;82;959;78
104;2024;0;0;41;146644;22;14;4;1;3;138;1324;71
115;2021;22;0;62;225830;37;21;4;3;12;126;1467;72
115;2022;22;0;63;217874;24;26;9;6;5;181;1596;64
115;2023;3;0;41;136804;13;20;5;6;1;152;1344;68
115;2024;3;0;9;30099;5;4;0;0;0;30;259;66
115;2024;19;0;45;153079;20;25;0;3;5;146;1614;77
275;2021;17;0;39;139877;23;13;3;2;7;73;920;73
275;2022;17;0;24;81663;14;5;3;2;0;55;609;71
275;2023;17;0;23;76644;11;10;0;2;1;64;763;77
275;2024;17;0;31;108005;18;8;4;5;0;89;987;75
279;2021;36;1;32;107972;15;14;1;2;0;97;941;64
279;2022;22;0;13;38466;4;4;3;0;0;39;278;56
279;2023;57;1;18;62929;13;4;0;1;0;52;472;61
282;2021;6;0;56;198963;24;28;3;7;6;143;1395;67
282;2022;6;0;44;155872;16;25;3;3;5;144;1088;59
282;2023;10;0;8;24053;2;4;1;0;0;24;204;62
282;2024;44;1;13;40920;4;6;2;0;1;37;367;64
282;2024;54;1;18;62945;8;6;3;1;2;50;514;65
334;2021;28;0;38;134451;14;17;5;4;4;86;937;70
334;2022;28;0;31;100514;11;13;2;4;0;99;842;63
334;2023;57;1;41;147534;26;12;3;1;3;101;1125;69
334;2023;12;0;6;18218;1;4;0;0;0;26;169;53
418;2021;0;0;27;97873;10;15;2;2;4;62;783;77
418;2022;0;0;58;200574;37;14;4;5;2;169;1786;73
418;2023;0;0;7;23544;2;4;0;2;0;22;256;77
418;2024;47;1;20;67213;7;11;0;2;0;63;613;67
488;2021;9;0;1;3600;1;0;0;0;0;2;23;69
488;2021;55;1;26;88160;14;10;1;0;2;63;738;72
488;2022;50;1;15;48819;7;5;1;1;1;38;419;69
488;2024;34;1;36;125126;20;10;5;3;5;79;1060;76
564;2021;54;1;49;168594;25;18;5;0;5;125;1368;69
564;2022;34;1;34;110764;12;12;4;1;0;110;1020;63
854;2021;27;0;49;171698;28;16;4;5;5;99;1106;69
854;2022;27;0;59;203712;37;18;3;9;5;157;1480;66
854;2023;27;0;55;187451;30;16;5;4;6;150;1538;70
854;2024;27;0;61;213746;34;21;5;11;8;149;1617;72
327;2021;0;0;2;7147;0;2;0;2;0;6;64;74
327;2021;47;1;23;82858;13;9;1;1;1;69;650;62
327;2022;0;0;30;96999;13;13;1;1;2;100;901;66
327;2023;47;1;2;7200;1;1;0;0;0;6;67;71
372;2022;43;1;30;95865;10;15;1;3;2;91;836;61
372;2021;52;1;5;17938;2;3;0;0;0;14;154;73
376;2021;11;0;47;155760;18;18;7;5;4;119;1197;67
376;2022;11;0;49;173985;15;32;2;8;5;164;1453;66
895;2021;2;0;17;58372;3;9;3;4;0;42;418;67
895;2021;1;0;4;14349;3;1;0;1;1;9;107;77
895;2022;1;0;35;123146;20;14;0;2;1;106;853;61
1088;2021;19;0;30;106742;20;6;4;2;6;49;678;74
1088;2022;62;1;32;113772;19;13;0;1;2;90;970;70
1088;2023;47;1;14;44212;5;7;0;1;0;36;381;68
144;2021;17;0;45;158196;23;16;4;5;4;93;1034;69
144;2022;17;0;62;215104;41;16;3;2;5;160;1580;68
144;2023;17;0;62;219532;40;17;4;6;5;179;2084;77
144;2024;17;0;53;188301;31;18;3;4;4;149;1683;75
144;2025;17;0;26;73554;9;9;1;2;0;76;752;68
232;2021;21;0;35;119331;10;17;6;3;2;90;875;67
232;2022;21;0;45;158090;25;18;2;3;3;113;1193;70
232;2023;56;1;32;106680;12;15;3;1;1;104;906;61
232;2024;56;1;54;190361;28;21;5;3;4;155;1749;72
232;2025;56;1;56;193214;29;22;3;3;6;155;1774;73
369;2025;47;1;1;3314;0;0;0;0;0;6;29;27
369;2021;38;1;36;125384;25;9;2;0;0;91;993;67
369;2022;38;1;25;90042;15;9;1;1;1;62;669;68
369;2023;50;1;31;111590;13;14;3;3;4;85;940;71
369;2024;59;1;11;40179;4;5;2;0;1;27;356;74
589;2021;50;1;17;58564;10;5;1;1;0;42;506;71
589;2022;54;1;45;159042;25;14;6;2;4;114;1275;70
589;2023;34;1;41;130950;12;19;3;4;1;112;1198;67
589;2024;36;1;11;36696;3;7;0;1;1;25;317;72
857;2021;25;0;51;180149;19;28;4;7;5;124;1222;67
857;2022;25;0;25;73618;8;10;2;3;1;83;733;66
857;2023;31;0;43;152951;30;8;4;3;2;115;1360;78
857;2024;123;1;11;37779;4;5;1;1;0;29;341;69
857;2024;31;0;12;39077;7;5;0;0;0;41;346;65
891;2021;10;0;16;49320;8;3;2;2;1;32;333;65
891;2022;10;0;14;45709;7;3;1;1;0;47;382;63
891;2023;54;1;42;151617;26;16;0;1;6;88;1164;75
891;2024;54;1;31;108428;20;8;2;0;2;72;873;71
891;2024;10;0;2;7154;1;1;0;0;0;4;71;87
1098;2021;29;0;18;62475;11;4;2;1;2;40;430;69
1098;2022;29;0;30;104061;12;12;4;2;2;90;769;64
1098;2023;29;0;26;81584;6;15;1;4;0;101;807;62
1098;2024;33;1;10;36669;4;4;2;0;1;28;322;74
1098;2024;44;1;39;137781;19;15;4;0;3;103;1249;77
1280;2022;44;1;40;142868;18;17;4;1;2;116;1209;68
1280;2023;44;1;5;18045;3;2;0;0;0;19;183;69
1280;2023;53;1;18;57430;10;6;0;2;2;39;446;66
1280;2024;53;1;35;128257;21;10;4;0;4;83;957;69
1288;2021;61;1;48;162126;21;20;3;3;3;152;1354;61
1288;2022;46;1;40;140840;23;14;2;1;4;112;1284;72
1288;2024;38;1;9;32619;6;2;1;0;1;15;239;76
1288;2024;33;1;16;57856;7;8;1;1;1;42;529;74
1289;2021;23;0;40;139875;18;18;4;2;5;90;939;68
1289;2022;23;0;51;181318;27;23;0;4;2;137;1315;67
1289;2023;30;0;19;68644;8;9;2;3;1;51;570;74
1289;2024;54;1;17;61833;10;6;1;1;1;43;480;72
1289;2024;10;0;3;10800;0;3;0;0;0;15;114;63
1289;2024;44;1;17;61627;10;7;0;1;1;42;582;79
1435;2022;41;1;2;7185;1;1;0;0;0;6;73;76
1974;2021;48;1;37;122037;14;16;3;3;2;102;1065;66
1974;2022;50;1;43;148145;14;23;3;5;0;132;1276;65
2280;2021;34;1;11;39838;5;6;0;0;0;29;317;65
2326;2022;52;1;14;47636;2;9;2;1;0;46;542;74
2326;2021;52;1;14;45735;6;4;3;1;0;31;414;74
2400;2021;41;1;5;17347;2;2;0;0;0;13;190;82
2425;2021;45;1;26;90335;9;13;3;0;5;78;819;69
289;2021;16;0;66;234551;32;22;11;5;7;146;1548;68
289;2022;16;0;70;247522;33;31;5;2;2;246;2182;67
289;2023;18;0;54;192660;31;13;9;2;3;155;1762;77
289;2024;60;1;0;0;0;0;0;0;0;0;0;0
289;2024;10;0;6;16224;2;2;0;0;0;14;148;69
289;2024;18;0;20;64816;8;7;2;4;1;59;578;70
289;2025;3;0;43;151283;22;17;2;3;1;137;1377;73
289;2026;3;0;13;39143;5;3;1;1;2;35;350;68
289;2026;36;1;1;3564;0;1;0;0;0;4;38;66
311;2021;3;0;48;173629;29;15;3;1;3;112;1128;67
311;2022;3;0;16;53745;6;7;2;2;1;42;421;69
311;2022;27;0;16;54887;7;6;2;2;1;48;395;63
311;2023;27;0;34;110991;16;11;4;4;3;97;975;69
311;2024;27;0;25;83071;11;11;0;4;3;66;675;70
311;2025;27;0;2;7436;0;1;1;2;0;7;74;77
311;2025;57;1;8;28718;2;6;0;0;1;24;269;72
311;2025;124;0;29;95514;6;19;3;7;0;105;1027;72
311;2025;12;0;5;13939;1;2;0;1;0;22;127;47
311;2026;21;0;25;80899;11;11;0;4;1;73;785;74
311;2026;20;0;7;22231;3;3;0;1;0;21;174;62
337;2021;42;1;40;123969;14;17;3;5;2;110;1173;67
337;2022;24;0;24;78634;7;10;3;3;0;72;687;67
337;2023;24;0;52;163716;17;25;3;7;0;172;1646;70
337;2024;9;0;41;138463;24;15;1;3;1;129;1283;71
337;2026;38;1;36;121055;22;6;4;0;2;92;923;65
842;2021;26;0;59;209374;31;23;4;4;10;121;1334;69
