PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
8;44;30;1;42;0;0;0;34;31;3;4.26;0;.912;82
102;8;8;7;385;3;3;0;208;187;21;3.27;0;.899;67
294;50;26;5;302;1;4;0;182;163;19;3.77;0;.896;63
442;12;12;7;454;4;2;1;270;247;23;3.04;0;.915;79
457;29;29;4;245;2;1;1;97;87;10;2.45;0;.897;67
526;59;1;6;358;2;4;0;159;134;25;4.18;0;.843;49
536;27;27;7;425;4;2;1;260;232;28;3.95;0;.892;72
613;20;20;1;55;0;0;0;28;24;4;4.31;0;.857;57
703;1;1;1;20;0;0;0;16;12;4;11.98;0;.750;34
738;18;18;7;418;4;3;0;191;170;21;3.01;0;.890;66
864;33;29;4;196;1;2;0;108;95;13;3.96;0;.880;57
889;62;19;1;29;0;0;1;13;12;1;2.04;0;.923;60
929;8;8;2;70;0;1;0;43;34;9;7.68;0;.791;38
930;55;9;11;676;5;4;2;367;335;32;2.84;0;.913;72
952;20;20;7;369;4;3;0;235;218;17;2.76;0;.928;76
977;40;20;7;399;3;4;0;268;246;22;3.30;0;.918;78
1044;43;17;4;238;0;4;0;153;131;22;5.53;0;.856;47
1264;58;24;7;472;3;3;1;213;196;17;2.16;1;.920;74
1737;60;60;10;598;7;2;1;326;292;34;3.41;0;.896;66
1835;33;31;3;101;0;2;0;77;69;8;4.71;0;.896;58
2062;27;27;1;10;0;0;0;5;1;4;22.78;0;.200;13
2115;45;1;13;778;7;5;1;356;317;39;3.00;0;.890;65
2653;44;30;5;267;1;3;1;184;161;23;5.16;0;.875;59
2689;54;10;10;621;8;2;0;318;289;29;2.80;1;.909;68
2746;32;23;1;13;0;0;0;12;10;2;8.79;0;.833;52
2756;131;1;11;684;9;2;0;241;223;18;1.58;3;.925;69
2896;133;26;8;455;3;5;0;242;212;30;3.95;0;.876;58
3066;62;19;5;274;1;3;0;135;118;17;3.71;0;.874;58
3220;130;14;6;331;3;3;0;247;229;18;3.26;1;.927;82
3318;148;30;9;558;6;2;1;281;256;25;2.68;0;.911;74
3462;29;29;3;178;1;2;0;91;86;5;1.68;1;.945;81
3513;1;1;7;415;3;3;1;259;232;27;3.90;0;.896;72
3894;147;147;5;311;2;2;1;164;150;14;2.70;0;.915;69
3904;140;140;1;46;0;0;0;35;31;4;5.17;0;.886;61
5398;143;18;3;125;0;3;0;76;67;9;4.31;0;.882;58
5405;145;145;2;43;0;0;0;25;21;4;5.52;0;.840;46
5430;144;8;6;358;3;2;1;180;163;17;2.85;0;.906;71
5434;134;134;4;182;1;3;0;86;73;13;4.26;0;.849;46
5451;151;152;4;198;1;3;0;120;103;17;5.15;0;.858;52
5455;140;140;3;142;0;2;1;110;97;13;5.46;0;.882;56
5536;131;131;5;285;4;0;0;124;119;5;1.05;0;.960;74
5541;133;133;1;24;0;0;0;18;18;0;0.00;0;1.000;76
5673;145;145;8;445;3;5;0;231;204;27;3.63;0;.883;62
5693;130;130;1;28;0;0;0;21;20;1;2.12;0;.952;72
5711;142;23;15;943;10;3;2;470;421;49;3.12;0;.896;62
5810;126;124;3;188;0;2;1;144;130;14;4.45;0;.903;72
