PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
0;18;18;1;60;1;0;0;37;35;2;2.00;0;.946;92
8;44;30;1;60;0;1;0;27;22;5;5.00;0;.815;44
124;123;31;1;65;0;0;1;35;33;2;1.85;0;.943;85
384;21;21;2;120;2;0;0;58;52;6;3.00;0;.897;70
442;12;12;4;252;2;1;1;159;149;10;2.38;0;.937;88
458;44;44;1;60;0;1;0;33;29;4;4.00;0;.879;58
526;59;1;2;120;2;0;0;28;24;4;2.00;0;.857;54
530;23;23;4;238;1;3;0;151;138;13;3.28;0;.914;81
536;27;27;2;120;1;1;0;66;60;6;3.00;0;.909;77
540;21;21;5;307;4;0;1;174;159;15;2.93;0;.914;79
567;24;24;6;342;2;4;0;220;200;20;3.50;0;.909;78
613;20;20;5;308;1;2;2;169;154;15;2.92;0;.911;77
668;14;14;5;298;3;2;0;155;137;18;3.61;0;.884;68
690;152;152;2;73;0;0;1;32;30;2;1.64;0;.938;66
703;1;1;4;239;3;1;0;119;111;8;2.01;1;.933;83
737;50;26;5;261;1;4;0;127;114;13;2.99;0;.898;63
738;18;18;4;237;0;4;0;140;129;11;2.78;0;.921;82
762;25;25;3;178;1;2;0;90;77;13;4.37;0;.856;57
830;26;26;3;125;2;0;0;57;52;5;2.39;0;.912;66
862;2;2;5;271;2;3;0;152;133;19;4.20;0;.875;64
864;33;29;1;65;0;0;1;40;38;2;1.85;0;.950;92
879;124;124;1;59;0;1;0;72;69;3;3.03;0;.958;89
904;3;3;4;201;2;1;1;140;129;11;3.28;0;.921;83
929;8;8;3;187;2;0;1;73;68;5;1.60;0;.932;76
933;19;19;5;299;4;1;0;165;150;15;3.01;0;.909;78
945;30;30;1;59;0;1;0;22;19;3;3.03;0;.864;55
952;20;20;2;120;1;1;0;59;54;5;2.50;0;.915;75
1021;30;30;2;122;1;1;0;59;53;6;2.93;0;.898;71
1064;3;3;5;299;3;2;0;146;132;14;2.80;1;.904;70
1222;10;10;1;60;0;1;0;30;27;3;3.00;0;.900;74
1247;18;18;2;120;1;1;0;69;62;7;3.50;0;.899;76
1275;28;28;3;185;2;0;1;92;84;8;2.59;0;.913;77
1294;9;9;6;338;3;3;0;202;178;24;4.26;1;.881;67
1331;123;123;3;180;2;1;0;84;75;9;3.00;1;.893;66
1531;153;153;2;119;0;2;0;68;60;8;4.01;0;.882;56
1615;19;19;1;59;0;1;0;21;18;3;3.03;0;.857;54
1637;54;54;1;64;1;0;0;21;20;1;0.93;0;.952;71
1651;7;7;2;119;1;1;0;53;48;5;2.52;0;.906;71
1652;0;0;2;120;0;1;1;79;66;13;6.49;0;.835;52
1658;124;124;4;217;2;2;0;132;117;15;4.14;1;.886;68
1664;31;31;3;131;2;0;0;76;69;7;3.19;0;.908;66
1798;60;60;1;60;1;0;0;19;16;3;3.00;0;.842;52
1815;44;44;3;195;2;0;1;89;83;6;1.85;0;.933;75
1828;24;24;2;80;0;1;0;43;37;6;4.49;0;.860;56
1835;33;31;1;60;1;0;0;25;24;1;1.00;0;.960;81
1926;47;0;5;299;3;2;0;143;133;10;2.00;1;.930;70
1959;48;14;5;305;3;1;1;183;173;10;1.97;1;.945;77
2062;27;27;3;118;1;1;0;72;63;9;4.54;0;.875;60
