PlayerId;G;LD;RD;LW;C;RW;Aggression;Bravery;Determination;Teamplayer;Leadership;Temperament;Professionalism;Mental Toughness;Goalie Stamina;Acceleration;Agility;Balance;Speed;Stamina;Strength;Fighting;Screening;Getting Open;Passing;Puck Handling;Shooting Accuracy;Shooting Range;Offensive Read;Checking;Faceoffs;Hitting;Positioning;Shot Blocking;Stickchecking;Defensive Read;G Positioning;G Passing;G Pokecheck;Blocker;Glove;Rebound;Recovery;G Puckhandling;Low Shots;G Skating;Reflexes;Skating;Shooting;Playmaking;Defending;Physicality;Conditioning;Character;Hockey Sense;Goalie Technique;Goalie Overall Positioning;Ability;Potential
0;20;0;0;0;0;0;8;1;19;15;17;1;17;19;20;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;14;13;15;15;15;14;13;14;15;14;15;0;0;8;0;1;10;13;0;14;13;3.5;3.5
1;0;20;14;8;5;5;8;15;15;16;15;15;17;1;1;15;16;15;15;16;15;6;7;11;13;14;7;16;13;15;7;17;16;15;14;16;1;1;1;1;1;1;1;1;1;1;1;15;11;14;15;12;18;12;16;0;0;2.5;2.5
7;0;8;5;20;19;14;8;15;14;16;15;14;15;1;1;15;16;16;15;15;12;8;15;14;16;16;15;5;16;15;16;10;14;8;15;15;1;1;1;1;1;1;1;1;1;1;1;15;12;14;13;12;17;13;15;0;0;2.5;3
8;20;0;0;0;0;0;9;1;17;19;12;1;16;15;15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;15;11;15;12;14;15;14;13;16;14;16;0;0;9;0;1;9;11;0;13;14;2.5;2.5
9;20;0;0;0;0;0;8;1;10;14;12;1;16;16;19;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;15;11;16;12;14;12;12;12;13;13;13;0;0;8;0;1;10;9;0;13;13;1;1
13;0;8;5;14;10;20;8;14;13;14;14;12;14;1;1;16;15;13;15;10;12;7;13;13;15;14;15;7;14;12;10;12;10;6;13;13;1;1;1;1;1;1;1;1;1;1;1;14;14;13;10;11;15;10;13;0;0;1;1
16;0;19;20;8;5;8;11;15;16;16;15;13;15;1;1;15;16;15;14;17;14;9;8;13;15;17;10;18;15;15;9;15;17;14;16;17;1;1;1;1;1;1;1;1;1;1;1;14;14;13;15;12;18;13;17;0;0;3.5;4
25;0;18;20;5;5;8;9;14;14;13;13;13;14;1;1;12;12;15;14;14;14;8;8;12;14;15;12;16;15;14;7;14;13;13;16;15;1;1;1;1;1;1;1;1;1;1;1;13;14;12;14;11;16;12;14;0;0;2;2
29;0;8;5;20;10;15;13;15;12;13;13;9;14;1;1;13;13;14;12;15;13;8;14;14;13;13;14;8;13;12;10;13;11;6;13;12;1;1;1;1;1;1;1;1;1;1;1;13;15;11;10;13;17;11;13;0;0;1;1.5
30;0;15;20;5;5;8;8;15;15;14;15;15;15;1;1;12;14;16;13;12;14;6;8;12;14;15;8;14;13;17;7;16;17;16;16;18;1;1;1;1;1;1;1;1;1;1;1;13;11;14;16;12;16;12;17;0;0;2.5;2.5
