PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
1;2024;26;9999;7;1;3;2;2;0;0;0;0;60;0;10;0;0;11;0;9;7;8248;0;259;0;0
1;2025;26;9999;6;0;1;2;-2;0;0;0;0;59;0;8;0;0;10;1;4;7;6099;0;412;0;0
7;2022;74;9999;17;6;11;2;9;0;2;0;0;77;0;65;306;156;17;7;3;19;17863;2764;1881;0;0
7;2023;53;9999;22;0;1;10;-2;0;0;0;0;58;0;22;17;8;7;2;3;9;11109;302;156;0;0
7;2024;53;9999;12;3;3;4;-2;0;0;0;0;69;0;30;31;18;6;0;3;24;12110;715;481;0;0
7;2026;30;9999;12;5;4;2;5;0;0;0;0;59;0;12;88;41;7;5;2;5;8058;0;32;0;0
16;2022;40;9999;1;0;1;0;-1;0;1;0;0;66;0;2;0;0;1;0;0;1;840;15;265;0;0
16;2023;40;9999;6;1;4;0;3;0;0;0;1;69;1;9;0;0;11;1;2;14;5956;117;703;0;0
16;2024;31;9999;11;0;2;2;-3;0;0;0;0;59;0;14;0;0;18;3;5;15;10746;80;165;0;0
16;2025;31;9999;18;2;7;2;-4;0;0;0;1;56;0;30;0;0;20;10;12;29;18495;90;1147;0;0
25;2022;38;9999;18;1;5;8;-3;0;0;0;0;57;0;26;0;0;13;5;6;24;17611;726;1038;0;0
25;2023;36;9999;2;0;0;0;-1;0;0;0;0;64;0;3;0;0;0;0;0;4;1907;209;120;0;0
25;2024;36;9999;1;0;0;0;0;0;0;0;0;58;0;2;0;0;0;0;0;0;981;27;0;0;0
26;2021;17;9999;7;4;3;0;0;1;2;0;0;69;0;23;0;0;16;1;2;8;10186;1099;231;0;0
26;2022;17;9999;13;1;5;2;1;1;0;0;1;67;0;40;0;0;19;1;9;17;15826;2228;1387;0;0
26;2023;17;9999;21;2;10;8;-8;1;5;0;0;67;0;60;0;0;34;4;14;43;27503;1659;1615;0;0
26;2024;17;9999;14;1;7;2;2;0;1;0;0;63;0;47;0;0;21;4;9;15;17880;1046;535;0;0
26;2025;17;9999;7;0;2;2;-2;0;0;0;0;63;0;12;0;0;4;0;9;9;7870;89;681;0;0
26;2026;20;9999;1;0;0;0;-2;0;0;0;0;55;0;3;0;0;1;1;3;1;1123;28;0;0;0
30;2023;21;9999;7;0;0;2;6;0;0;0;0;60;0;3;0;0;3;3;4;19;5866;114;325;0;0
30;2026;8;9999;7;0;0;2;-1;0;0;0;0;56;0;10;0;0;8;2;3;14;7685;0;64;0;0
43;2024;43;9999;10;2;2;4;4;0;0;0;0;69;1;11;0;0;11;2;0;24;12287;4;991;0;0
43;2026;60;9999;6;0;2;2;-4;0;0;0;0;55;0;11;0;0;16;4;3;16;7089;61;641;0;0
52;2022;59;9999;7;0;3;4;-7;0;1;0;0;66;0;14;0;0;7;2;3;12;7256;673;625;0;0
65;2022;57;9999;2;0;0;0;-2;0;0;0;0;57;0;4;0;0;1;0;0;1;1787;191;49;0;0
68;2026;41;9999;20;6;10;8;-2;0;1;0;0;66;1;55;0;0;11;13;7;15;18779;1084;13;0;0
82;2021;29;9999;6;0;1;4;-1;0;0;0;0;60;0;4;0;0;12;2;2;4;7599;246;66;0;0
82;2023;27;9999;6;3;1;2;2;1;0;0;0;65;0;29;0;0;11;0;10;7;6655;1102;429;0;0
82;2024;27;9999;7;0;2;0;-2;0;0;0;0;60;0;10;0;0;4;0;6;8;8659;43;222;0;0
82;2025;27;9999;13;1;5;4;0;0;0;0;0;62;0;30;0;0;35;4;7;10;16334;416;876;0;0
82;2026;27;9999;22;0;7;6;0;0;0;0;0;61;0;60;0;0;25;3;16;32;24672;826;800;0;0
83;2023;48;9999;11;2;2;2;2;0;0;0;0;57;2;18;8;5;16;3;1;5;4886;0;660;0;0
83;2025;17;9999;2;0;0;0;-3;0;0;0;0;48;0;2;2;2;1;5;0;1;2155;0;0;0;0
85;2021;43;9999;4;0;4;0;0;0;0;0;0;67;0;7;70;36;2;0;1;3;4171;312;90;0;0
85;2022;55;9999;5;0;1;0;0;0;0;0;0;64;0;3;54;29;5;1;1;1;2222;1044;62;0;0
86;2022;33;9999;7;0;2;6;-1;0;0;0;0;74;0;8;0;0;10;0;5;15;8218;503;806;0;0
90;2021;16;9999;1;0;0;0;0;0;0;0;0;56;0;0;2;0;1;1;0;1;437;0;19;0;0
93;2021;5;9999;6;2;5;6;-3;0;3;0;0;73;0;11;2;2;14;7;2;0;5748;1227;0;0;0
93;2022;5;9999;11;1;7;2;3;1;2;0;0;71;1;21;1;0;15;14;4;4;11366;739;0;0;0
93;2023;31;9999;21;9;25;8;12;2;4;0;0;76;1;74;3;2;36;16;12;6;22967;2741;35;0;0
93;2024;18;9999;14;6;5;2;5;1;2;0;0;68;0;33;2;2;16;17;9;2;13839;772;42;0;0
93;2025;18;9999;13;0;9;0;2;0;1;0;0;71;0;23;9;4;21;14;8;5;13602;1830;0;0;0
93;2026;18;9999;13;3;8;0;5;0;4;0;0;68;0;28;5;1;23;16;6;2;12410;1524;0;0;0
94;2021;19;9999;12;3;2;0;-3;1;2;0;0;65;1;29;0;0;10;1;7;14;13883;1420;187;0;0
94;2022;19;9999;14;2;3;0;-5;0;0;0;0;67;1;49;0;0;29;3;14;13;17292;2022;460;0;0
94;2023;3;9999;5;1;0;2;-5;1;0;0;0;63;0;10;0;0;12;3;4;8;6180;780;39;0;0
94;2025;18;9999;13;0;3;2;-5;0;0;0;0;61;0;39;0;0;13;3;13;17;14093;1547;403;0;0
94;2026;18;9999;13;1;3;4;-5;0;0;0;0;58;0;29;0;0;13;2;4;14;15315;0;3;0;0
107;2021;19;9999;3;0;0;0;-4;0;0;0;0;59;0;0;0;0;3;2;0;0;2279;6;0;0;0
107;2022;19;9999;13;0;1;2;-3;0;0;0;0;57;0;3;0;0;17;10;1;5;7157;37;0;0;0
107;2023;62;9999;6;0;2;0;-2;0;0;0;0;72;0;8;20;7;11;1;2;8;6726;90;575;0;0
107;2024;62;9999;18;1;7;10;8;0;0;0;0;66;0;39;5;3;32;6;6;17;17923;1190;1530;0;0
110;2021;121;9999;9;0;4;4;1;0;0;0;0;68;0;11;0;0;14;1;5;26;10512;9;752;0;0
110;2021;121;9999;4;0;1;4;0;0;0;0;0;72;0;5;0;0;13;0;1;19;4719;0;656;0;0
110;2022;121;9999;11;2;2;0;-4;0;0;0;0;73;0;16;0;0;12;2;7;27;11895;504;1487;0;0
110;2024;43;9999;1;0;0;0;-1;0;0;0;0;66;0;0;0;0;4;0;0;4;1468;0;192;0;0
111;2021;16;9999;4;0;2;0;-5;0;0;0;0;54;0;1;0;0;6;1;0;2;4412;17;15;0;0
111;2024;25;9999;7;3;3;7;-3;0;2;0;0;64;1;20;0;0;14;1;7;7;7359;1024;67;1;1
112;2024;48;9999;13;3;2;0;-4;1;0;0;0;56;0;14;3;0;5;2;1;5;6131;358;63;0;0
112;2025;48;9999;5;1;2;0;0;0;0;0;0;64;0;13;2;0;7;1;1;5;3636;1086;0;0;0
112;2026;48;9999;3;1;0;0;0;0;0;0;0;59;0;3;10;7;0;1;0;2;1421;264;21;0;0
117;2021;80;9999;9;5;9;4;0;1;2;0;0;70;0;25;11;5;8;1;0;4;8611;2679;620;0;0
117;2022;80;9999;12;7;11;14;10;1;2;0;0;72;1;46;2;1;18;4;3;12;12340;1969;708;0;0
118;2022;62;9999;7;1;1;2;-1;0;1;0;0;73;1;16;11;4;12;1;3;10;7270;989;0;0;0
118;2024;62;9999;17;10;5;4;5;6;1;0;0;72;2;53;0;0;28;4;6;19;17199;3663;86;0;0
118;2025;62;9999;23;11;11;10;7;2;5;0;1;74;3;74;15;6;38;13;16;20;22225;4303;115;0;0
118;2026;62;9999;21;8;3;4;0;2;3;0;0;72;1;58;137;69;44;6;3;19;17419;4360;31;0;0
120;2022;93;9999;12;7;4;6;-1;1;1;0;0;71;0;27;14;9;13;3;8;10;12135;1956;9;0;0
128;2021;5;9999;6;5;3;0;0;2;2;0;0;72;0;13;109;68;7;6;3;0;6173;1366;456;0;0
