PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
1;2021;27;0;7;0;0;4;2;0;0;0;0;62;0;10;0;0;10;3;4;14;7567;60;849;0;0
1;2022;26;0;4;0;0;2;3;0;0;0;0;64;0;8;0;0;7;0;5;5;4380;146;570;0;0
1;2023;26;0;5;2;2;4;6;0;0;0;0;65;0;10;0;0;10;3;6;5;5288;8;989;0;0
1;2024;26;0;7;1;3;0;3;0;0;0;0;67;0;14;0;0;17;0;10;7;7753;74;595;0;0
1;2025;26;0;3;0;1;0;1;0;0;0;0;56;0;5;0;0;4;1;5;4;3466;53;60;0;0
1;2026;26;0;3;0;1;0;1;0;0;0;0;66;0;6;0;0;3;0;3;8;3103;0;456;0;0
1;2027;26;0;4;0;4;0;3;0;0;0;0;58;0;7;0;0;4;2;1;4;4801;20;556;0;0
7;2022;74;3;7;1;5;6;2;0;1;0;0;69;1;16;65;33;0;2;5;1;5651;366;832;0;0
7;2023;53;1;1;0;0;0;0;0;0;0;0;60;0;1;6;4;0;0;0;0;437;191;0;0;0
7;2023;8;0;2;0;0;0;-2;0;0;0;0;62;0;2;15;4;1;1;1;1;1470;153;40;0;0
7;2024;53;1;6;1;4;0;4;0;1;0;0;68;0;18;10;5;0;3;2;6;5222;747;236;0;0
7;2025;53;1;4;0;1;12;1;0;0;0;0;75;0;6;28;13;2;0;1;12;3242;384;831;0;0
7;2027;30;0;4;0;1;0;-1;0;0;0;0;61;0;8;28;17;2;3;4;0;2462;0;56;0;0
16;2021;84;3;7;0;6;4;2;0;2;0;2;92;0;19;0;0;7;0;8;31;6889;872;1630;0;0
16;2023;20;0;2;0;0;2;4;0;0;0;0;59;0;4;0;0;1;0;1;4;1972;0;306;0;0
16;2023;40;1;3;0;2;2;4;0;0;0;0;74;0;4;0;0;0;0;4;6;2898;43;426;0;0
16;2024;20;0;6;1;3;0;5;0;0;0;1;63;0;13;0;0;4;0;3;11;5795;0;804;0;0
16;2025;31;0;6;0;1;4;3;0;0;0;0;59;0;21;0;0;8;4;5;5;7320;232;224;0;0
16;2026;31;0;5;0;3;2;3;0;0;0;0;62;0;8;0;0;5;2;3;6;6217;78;589;0;0
16;2027;14;0;4;0;3;0;1;0;0;0;0;56;0;12;0;0;3;1;2;4;4117;0;392;0;0
25;2022;38;1;4;1;0;0;0;1;0;0;0;62;0;12;0;0;1;4;0;8;4036;134;472;0;0
25;2023;36;1;7;0;0;0;-2;0;0;0;0;65;0;6;0;0;7;1;5;22;6535;63;1228;0;0
25;2024;36;1;7;0;2;2;-6;0;1;0;1;55;0;13;0;0;2;4;1;4;6779;965;551;0;0
25;2026;43;1;3;1;0;0;4;0;0;0;0;63;0;3;0;0;2;0;0;1;2481;76;639;0;0
25;2027;44;1;3;1;1;0;1;0;0;0;0;62;1;5;0;0;3;3;2;5;3265;424;274;0;0
26;2021;17;0;7;2;2;2;0;1;1;0;0;67;0;24;0;0;9;0;3;10;8348;1289;97;0;0
26;2023;17;0;2;0;2;0;1;0;1;0;0;74;0;7;0;0;6;3;4;0;2511;459;137;0;0
26;2025;17;0;6;0;4;0;-4;0;0;0;0;59;0;7;0;0;6;1;2;10;7181;0;405;0;0
26;2026;20;0;4;0;3;4;1;0;0;0;0;57;0;5;0;0;3;2;2;2;3076;156;90;0;0
30;2021;21;0;7;0;2;6;1;0;0;0;0;57;0;2;0;0;3;0;1;10;6755;146;745;0;0
30;2022;21;0;7;0;1;4;0;0;0;0;0;57;0;8;0;0;5;2;2;11;8003;66;589;0;0
30;2023;21;0;7;1;4;2;5;0;0;0;0;58;1;7;0;0;10;2;2;15;7063;207;632;0;0
30;2024;21;0;6;0;2;0;2;0;0;0;0;60;0;4;0;0;5;0;5;9;5765;22;261;0;0
30;2025;21;0;4;0;0;2;-1;0;0;0;0;61;0;8;0;0;6;1;3;8;4098;119;274;0;0
30;2026;8;0;3;0;1;0;-1;0;0;0;0;56;0;5;0;0;2;0;2;5;2709;0;120;0;0
30;2027;53;1;7;1;2;4;5;0;1;0;0;69;1;11;0;0;10;1;3;21;6507;55;1778;0;0
43;2021;61;1;4;0;1;2;-1;0;0;0;0;70;0;5;0;0;12;3;4;6;3621;703;638;0;0
43;2022;16;0;4;1;0;2;-8;0;0;0;0;53;0;7;0;0;3;0;4;7;4191;0;309;0;0
