PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
1;2021;27;0;68;2;16;30;5;0;0;0;6;59;0;87;0;0;67;6;21;92;69189;713;6615;0;0
1;2021;26;0;14;0;6;8;7;0;1;0;0;60;0;19;0;0;19;1;6;10;13341;920;582;0;0
1;2022;26;0;69;5;27;32;11;0;0;0;2;60;0;130;5;1;137;16;55;80;75610;2529;7155;0;0
1;2023;26;0;82;5;22;30;-6;0;0;0;3;59;1;138;0;0;168;20;62;87;93733;809;8270;0;0
1;2024;26;0;82;6;24;33;-3;0;0;0;4;58;1;135;0;0;144;24;58;73;87305;1028;6297;1;0
1;2025;26;0;82;5;14;20;-16;0;0;0;1;58;0;111;0;0;143;25;51;77;82759;702;9404;0;0
1;2026;26;0;66;5;16;16;-12;2;2;0;1;58;0;102;0;0;72;12;32;100;62580;3905;5715;0;0
1;2027;26;0;3;0;3;0;2;0;0;0;1;59;0;6;0;0;1;1;3;1;3247;0;371;0;0
1;2027;50;1;24;2;4;14;-2;0;0;0;0;73;0;31;0;0;40;6;12;86;23046;487;4689;0;0
7;2021;74;3;62;16;24;22;16;3;1;0;1;76;5;112;900;472;53;15;20;55;54664;5854;11729;0;0
7;2022;74;3;68;30;47;56;30;7;16;1;1;83;6;208;1304;719;63;20;35;101;63563;17437;11298;0;0
7;2023;53;1;60;8;10;18;6;1;0;1;1;59;1;61;129;62;18;15;12;29;31273;1137;2513;0;0
7;2024;53;1;76;20;27;46;26;5;9;1;1;71;3;159;172;79;41;13;30;52;61627;12722;3895;0;0
7;2025;53;1;31;15;22;24;18;3;8;0;0;69;3;98;44;22;17;12;9;31;25361;6387;692;0;0
7;2026;8;0;2;1;0;0;-1;0;0;0;0;57;0;3;8;4;0;0;1;0;1109;0;176;0;0
7;2026;30;0;38;3;13;4;6;0;0;0;0;60;0;28;250;122;16;23;25;8;22493;83;397;0;0
7;2027;30;0;57;6;15;9;9;0;1;1;1;61;3;43;184;81;38;45;20;19;33354;272;925;1;0
16;2021;84;3;68;11;31;62;-27;3;12;0;2;80;2;173;1;0;133;23;50;198;68875;17814;11929;0;0
16;2022;40;1;28;2;7;4;16;0;0;0;0;69;0;34;0;0;34;2;8;58;26897;222;4922;0;0
16;2023;40;1;68;5;8;28;-1;0;0;1;0;71;1;83;0;0;97;20;44;188;67145;711;13181;0;0
16;2024;20;0;29;1;7;18;-1;0;0;0;0;57;1;42;0;0;46;11;26;21;26779;94;1366;0;0
16;2024;31;0;48;3;16;16;-3;0;0;0;2;60;0;106;0;0;49;11;29;64;46425;1455;4575;0;0
16;2025;31;0;72;4;19;22;-2;0;1;0;1;59;0;129;0;0;71;21;33;87;76008;861;5788;0;0
16;2026;31;0;52;2;22;14;28;0;0;0;1;59;0;90;0;0;61;17;26;62;55122;484;5443;0;0
16;2026;14;0;21;1;5;6;-5;0;0;0;0;62;0;27;0;0;29;7;14;33;21830;937;3481;0;0
16;2027;48;1;2;0;0;2;-1;0;0;0;0;73;0;7;0;0;3;1;0;12;2188;19;359;0;0
16;2027;14;0;64;2;25;24;20;0;0;0;0;60;0;107;0;0;74;28;37;122;70139;444;9110;0;0
25;2022;38;1;56;7;13;24;9;1;1;0;0;62;1;95;0;0;51;26;19;86;54952;3071;8349;0;0
25;2023;36;1;50;5;10;22;-13;0;5;1;1;59;2;64;1;0;42;22;13;54;44553;3406;6171;0;0
25;2024;36;1;43;2;8;30;-14;1;3;1;0;61;0;88;2;2;34;16;16;39;35749;11841;3922;0;0
25;2027;44;1;64;7;13;46;12;0;3;0;0;59;2;92;2;1;83;14;24;63;62849;1117;7828;0;0
