PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
28;2021;8;0;65;4;15;68;6;1;5;0;1;59;1;105;0;0;87;18;32;79;60537;6839;10360;2;1
63;2021;15;0;82;3;18;20;1;0;1;1;3;59;1;87;0;0;57;6;20;133;81835;1918;6829;0;0
148;2021;22;0;78;4;13;22;-2;1;4;1;1;61;0;43;208;113;77;37;25;9;40580;3748;2351;0;0
186;2021;12;0;43;5;6;8;-4;2;3;0;0;60;2;34;304;173;30;19;14;4;24472;3804;417;0;0
5832;2021;18;0;45;3;11;2;10;0;0;0;0;61;0;30;106;62;27;14;7;1;20723;229;765;0;0
5832;2021;1;0;15;2;1;0;0;0;1;0;0;58;0;8;85;47;5;3;1;1;5581;174;313;0;0
5833;2021;29;0;14;2;1;4;4;0;0;1;0;62;0;11;2;1;17;10;4;0;7535;249;236;0;0
5833;2021;12;0;59;10;12;25;-13;7;8;0;0;65;2;80;26;8;78;28;19;5;32501;10221;254;1;0
5836;2021;8;0;74;5;12;20;-10;1;2;1;3;64;1;49;226;122;68;41;18;13;47991;2208;8605;0;0
5838;2021;59;1;22;8;6;8;-3;7;5;0;0;66;1;54;5;1;21;2;6;4;10456;6028;0;0;0
5846;2021;23;0;3;1;1;4;1;0;1;0;0;73;0;3;0;0;4;0;0;0;2379;607;0;0;0
5846;2021;30;0;11;1;1;4;0;0;0;0;0;62;1;9;1;0;12;6;3;1;6722;368;85;0;0
5847;2021;12;0;57;8;22;18;-4;3;12;0;0;62;1;59;135;60;42;34;23;2;33481;7080;1690;0;0
5848;2021;43;1;58;7;19;14;-5;3;5;0;0;62;2;100;24;8;14;17;9;24;34487;6226;1841;0;0
6;2021;60;1;73;7;25;46;29;0;0;2;0;65;1;102;754;456;152;20;25;43;52160;1023;7684;0;0
20;2021;31;0;22;3;4;7;-1;0;2;0;0;59;1;13;167;90;8;9;4;1;12616;393;152;1;0
20;2021;59;1;44;17;28;26;32;6;9;0;0;76;3;117;765;427;63;17;19;17;41025;9036;2437;0;0
21;2021;16;0;54;1;5;12;0;0;0;0;2;57;1;46;0;0;43;6;23;48;46754;232;3342;0;0
21;2022;16;0;32;1;9;2;-1;0;1;0;0;58;0;26;0;0;31;11;11;54;28993;260;1950;0;0
54;2021;60;1;61;11;19;56;8;2;4;0;2;68;3;114;68;28;33;14;33;17;40019;6699;10173;0;0
77;2021;14;0;68;4;18;26;3;0;0;0;2;57;0;83;0;0;62;8;35;39;60517;922;3311;0;0
77;2022;14;0;76;7;19;34;22;0;0;0;1;56;1;106;0;0;78;14;20;69;69910;447;7272;0;0
106;2021;24;0;42;4;5;19;-6;2;1;0;1;62;0;36;85;41;34;27;9;3;22444;3772;1210;0;0
106;2021;29;0;7;0;0;0;-1;0;0;0;0;57;0;2;4;2;6;1;1;0;2983;0;54;0;0
138;2021;0;0;15;3;2;0;2;1;2;1;0;63;1;27;0;0;19;2;7;2;10654;1708;833;0;0
138;2021;47;1;26;4;10;12;-7;1;0;0;0;64;0;41;51;21;48;6;11;18;22813;157;2201;0;0
140;2021;9;0;63;3;5;22;2;0;0;0;0;58;0;23;1;0;64;21;5;1;28542;346;309;0;0
140;2021;29;0;21;0;1;2;1;0;0;0;0;61;0;4;1;0;18;5;3;0;10330;59;0;0;0
140;2022;29;0;33;1;4;27;-3;0;0;0;1;58;0;26;28;9;37;10;5;0;18741;136;136;1;1
155;2021;44;1;44;1;3;10;-8;0;0;0;0;60;0;41;96;45;54;11;11;35;22695;61;6016;0;0
163;2021;41;1;10;0;1;0;-4;0;0;0;0;72;0;7;0;0;7;0;8;37;9743;58;1933;0;0
163;2021;7;0;39;1;3;8;1;0;0;0;2;57;0;41;21;10;26;3;14;37;35295;446;3184;0;0
163;2022;7;0;34;2;4;14;-8;0;0;0;0;55;0;36;5;1;22;8;13;46;29592;353;2145;0;0
163;2022;41;1;15;2;8;6;-5;1;7;0;0;65;0;24;2;0;10;2;10;39;13192;3517;1677;0;0
169;2021;7;0;77;7;22;40;-13;4;16;0;0;62;2;91;326;179;67;33;21;3;36716;16984;256;0;0
169;2022;7;0;50;7;14;10;-13;2;4;0;0;60;0;41;75;39;32;15;14;8;26603;4338;73;0;0
172;2021;27;0;31;0;1;14;3;0;0;0;0;55;0;19;0;0;24;5;6;16;23746;212;1102;0;0
172;2022;48;1;2;0;0;0;2;0;0;0;0;61;0;2;0;0;2;1;0;3;1565;43;194;0;0
175;2021;12;0;5;0;0;0;-2;0;0;0;0;64;0;2;5;1;6;1;2;0;3103;0;29;0;0
175;2021;29;0;30;1;5;8;1;0;1;1;0;60;0;13;50;27;24;8;6;1;14938;246;896;0;0
175;2021;22;0;35;1;4;10;-13;1;0;0;0;61;0;22;57;27;48;16;12;4;19888;1544;1707;0;0
175;2022;24;0;66;10;30;18;0;3;1;0;0;64;0;72;79;34;86;45;23;7;59562;2939;1558;0;0
175;2022;9;0;8;0;1;2;0;0;0;0;0;61;0;7;12;8;13;4;3;1;4010;508;0;0;0
176;2021;21;0;65;5;10;18;-7;1;1;0;0;59;0;48;636;297;33;38;25;10;43045;1358;1233;0;0
176;2021;28;0;16;1;2;6;-3;0;0;0;0;62;0;18;144;64;13;9;7;0;12323;1021;26;0;0
185;2021;52;1;44;0;9;22;-4;0;0;0;1;61;0;31;320;165;67;10;16;45;22217;423;5623;0;0
193;2021;59;1;1;0;1;0;2;0;0;0;0;79;0;1;0;0;0;0;1;1;920;113;323;0;0
193;2021;1;0;43;0;2;18;-7;0;0;0;1;56;0;50;2;0;30;6;11;53;40683;413;2781;0;0
193;2021;7;0;10;0;3;2;0;0;0;0;1;59;0;11;0;0;10;1;6;8;10220;123;898;0;0
193;2022;7;0;45;0;3;17;-30;0;0;0;0;54;0;55;2;0;28;8;15;64;41401;340;3368;1;0
211;2021;49;1;25;0;6;16;-3;0;0;0;0;60;0;33;0;0;22;8;9;35;20685;111;4946;0;0
241;2021;51;1;33;1;7;10;8;0;1;0;0;70;0;32;0;0;50;7;23;80;31358;713;3853;0;0
264;2021;38;1;70;8;15;72;14;1;1;0;0;63;1;72;729;371;123;18;12;11;51719;579;345;6;1
267;2021;49;1;2;0;2;0;2;0;1;0;0;83;0;4;26;16;5;0;5;2;1656;159;486;0;0
267;2021;5;0;65;5;8;18;1;0;1;0;1;58;1;30;407;212;42;29;19;4;37076;475;3946;0;0
271;2021;23;0;82;4;8;20;1;0;0;1;2;61;1;33;133;54;78;35;23;14;34968;548;5609;0;0
273;2021;25;0;77;4;9;33;-9;2;4;0;0;61;1;38;209;89;62;30;14;9;28517;4782;3501;1;1
286;2021;34;1;29;4;3;94;1;0;0;0;0;64;0;35;80;39;33;11;7;10;20825;551;151;10;5
338;2021;35;1;8;2;8;6;7;0;0;0;0;76;0;18;39;21;8;3;2;5;6916;199;1579;0;0
338;2021;11;0;31;5;7;18;-5;2;4;0;0;61;1;32;377;168;21;24;12;5;20907;2229;4133;0;0
641;2021;37;1;72;6;12;51;-13;0;1;0;0;62;1;93;126;65;193;18;24;58;60983;1822;6606;1;0
858;2021;53;1;62;7;9;37;5;0;0;2;1;64;2;64;503;271;43;20;16;45;35899;403;12174;1;1
858;2021;8;0;6;1;3;4;3;0;0;0;0;60;0;8;56;22;8;4;2;4;4771;21;44;0;0
900;2021;44;1;38;6;9;36;12;0;0;0;2;65;1;55;172;95;84;10;10;10;29902;498;6898;0;0
900;2021;30;0;15;0;5;4;4;0;0;0;0;62;0;2;7;5;18;5;4;1;8658;91;129;0;0
983;2021;43;1;65;28;39;42;23;7;15;1;2;71;6;171;119;62;157;29;17;33;61323;17769;4283;0;0
1009;2021;58;1;60;10;11;145;-9;1;2;0;1;63;0;87;159;69;139;20;22;142;48288;3783;8759;8;2
1758;2021;28;0;82;1;17;6;9;0;0;0;1;60;0;30;71;26;81;33;19;14;35109;319;8226;0;0
2135;2021;41;1;54;3;11;46;-3;2;1;0;2;61;0;51;0;0;98;24;17;137;51736;909;10782;0;0
2140;2021;8;0;75;4;10;26;-13;0;0;0;1;63;1;34;94;47;112;33;19;6;51913;1056;1261;0;0
2146;2022;61;1;14;2;4;0;-2;0;0;0;0;62;0;22;0;0;8;6;4;20;12182;125;1623;0;0
2146;2021;61;1;29;3;7;18;-6;1;2;0;0;60;1;69;2;0;23;8;6;31;23713;3466;3839;0;0
2147;2021;45;1;33;3;12;16;-8;2;4;0;0;72;0;62;0;0;68;18;15;52;32959;7914;6197;0;0
2150;2021;61;1;76;23;28;16;-8;10;12;0;0;66;1;176;49;23;68;23;20;23;59336;17725;473;0;0
2151;2021;53;1;30;3;7;8;-9;1;3;0;0;60;0;27;36;19;13;4;3;7;14147;2555;641;0;0
2157;2021;38;1;70;13;15;26;5;3;1;0;0;60;3;107;132;61;71;17;21;23;42211;2008;6965;0;0
2164;2021;34;1;65;4;18;30;-1;1;1;1;1;73;0;89;0;0;77;21;29;194;62331;1088;11880;0;0
2166;2021;48;1;68;16;16;36;-17;6;5;1;0;66;3;151;85;41;54;24;15;44;51274;9058;6464;2;1
2212;2022;48;1;6;0;1;51;-2;0;0;0;0;51;0;7;0;0;7;3;2;5;4568;0;363;2;2
2212;2021;48;1;49;1;8;273;-5;0;1;0;0;58;0;60;1;1;299;12;9;47;45107;1144;6277;21;12
2234;2021;48;1;65;3;17;95;-7;0;4;1;1;63;1;79;0;0;105;27;17;60;58352;5186;10949;7;3
2264;2021;41;1;64;10;14;111;-6;0;0;0;0;62;1;82;66;26;91;17;11;15;51613;357;1888;8;4
3944;2021;52;1;32;3;9;16;-4;3;3;0;0;63;0;30;103;63;7;4;5;28;17269;4855;663;0;0
4421;2021;54;1;71;9;28;42;-1;2;9;0;0;64;3;155;95;52;47;40;26;45;59111;5233;5484;0;0
5;2021;42;1;58;0;9;57;0;0;0;0;1;59;0;77;0;0;63;29;22;73;52137;752;10663;0;0
5;2022;42;1;73;6;13;52;3;0;0;0;1;62;2;82;1;0;70;22;26;89;64331;616;8304;0;0
11;2021;30;0;82;23;33;52;4;7;20;2;2;69;7;143;1194;685;69;70;40;9;69182;16519;8817;0;0
11;2022;30;0;82;27;43;32;12;3;20;3;1;70;6;121;992;577;114;97;69;19;67210;14371;12853;0;0
11;2023;30;0;82;16;45;34;13;2;20;2;7;70;4;104;1049;620;121;93;68;33;63993;17510;11913;0;0
17;2021;22;0;81;8;24;39;19;0;0;3;8;63;2;67;626;305;78;52;33;31;50665;242;11582;0;0
17;2022;22;0;82;9;20;10;-5;1;2;2;0;61;2;40;72;37;99;47;24;23;51107;2466;2328;0;0
18;2021;50;1;69;10;9;69;-16;1;0;0;1;60;1;71;325;157;147;18;19;24;48328;895;8111;3;1
