PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
25;44;30;5;0;2;-6;4;0;0;0;0;0;0;7;3;0;4;50;50;49;8;5632;45;499;97.1;3.2;7.0;22.4;40.9;59;116;33.7;-2.0;48;86;35.8;0.4;0;0;0
30;59;1;6;0;0;-2;0;0;0;0;0;0;0;8;3;3;8;58;48;70;4;6678;0;789;92.1;1.6;2.7;27.0;19.4;98;67;59.4;6.3;75;53;58.6;4.2;0;0;0
43;60;18;9;1;4;10;0;0;0;0;0;0;0;11;2;0;15;63;50;78;15;8640;0;1122;113.5;5.4;1.3;30.8;30.4;146;129;53.1;5.6;101;101;50.0;0.4;0;0;0
66;29;29;7;0;3;4;2;0;0;0;0;0;0;4;1;6;6;60;53;67;9;8226;0;169;100.0;3.5;1.8;38.5;19.3;136;75;64.5;8.5;101;50;66.9;14.3;0;0;0
74;59;1;4;0;1;-1;0;0;0;0;0;0;0;6;3;1;0;64;53;75;7;2756;167;531;91.5;2.6;3.9;40.5;26.1;48;35;57.8;-1.2;36;26;58.1;-1.8;0;0;0
83;43;17;4;0;2;0;2;0;1;0;0;0;0;9;1;2;0;63;58;59;8;4080;207;303;101.3;0.9;0.9;22.9;34.4;56;64;46.7;5.9;36;53;40.4;0.6;0;5;2
93;18;18;7;2;3;-1;2;0;0;0;0;0;0;11;5;5;5;71;71;68;10;6395;787;0;92.6;2.8;3.4;41.1;23.6;117;72;61.9;3.8;85;49;63.4;3.8;0;4;4
107;62;19;5;1;0;0;0;0;0;0;0;0;0;2;2;0;3;57;54;56;5;3659;0;590;97.3;4.9;4.9;32.5;27.5;54;56;49.1;-2.2;46;43;51.7;3.5;0;5;2
110;38;25;12;0;3;0;4;0;0;0;0;0;0;11;2;4;16;61;50;73;9;12033;33;1075;98.3;2.7;2.7;25.4;21.8;157;161;49.4;-0.2;115;112;50.7;1.9;0;0;0
117;33;29;5;3;3;0;0;2;0;0;0;0;0;8;4;4;8;73;71;70;19;5124;1058;0;101.1;4.2;3.5;38.6;35.8;88;98;47.3;0.1;70;71;49.6;2.5;1;4;2
134;32;30;10;1;1;-4;0;0;0;0;0;0;0;11;2;3;7;59;56;57;15;5769;0;1612;92.0;3.1;5.6;36.2;33.7;95;98;49.2;-3.9;66;74;47.1;-6.5;0;43;21
192;59;1;5;0;1;-2;2;0;0;0;0;0;0;2;0;0;4;57;53;55;3;2065;78;0;85.3;1.7;5.2;33.1;26.2;28;25;52.8;-0.7;22;19;53.7;-1.1;0;0;0
205;38;10;13;3;5;0;0;0;0;0;0;0;0;29;2;3;5;61;56;62;17;10116;0;0;102.3;2.8;2.8;25.3;31.7;126;150;45.7;-4.9;95;116;45.0;-5.8;1;0;0
207;29;29;7;2;3;6;0;0;0;0;0;0;0;4;1;6;3;65;59;73;11;5571;0;211;109.6;4.5;0.6;36.8;24.6;91;54;62.8;5.3;65;44;59.6;3.3;0;68;34
227;29;29;7;1;1;-1;0;0;0;0;0;0;0;2;6;3;1;57;53;59;6;3640;11;343;96.9;2.0;3.0;28.7;29.7;53;44;54.6;-4.7;35;32;52.2;-5.6;0;39;7
234;50;26;5;1;2;2;0;0;0;0;0;0;0;5;5;4;8;73;55;89;15;5776;1070;216;103.4;3.7;2.5;34.9;34.3;88;99;47.1;6.7;73;77;48.7;8.3;0;0;0
300;18;18;7;0;4;8;2;0;1;0;0;0;0;14;1;2;3;63;63;60;17;7746;692;297;105.7;6.5;2.8;41.4;27.9;135;83;61.9;4.1;110;68;61.8;1.9;0;0;0
318;12;12;7;0;1;-2;2;0;0;0;0;0;0;2;1;2;3;59;57;58;3;5316;0;65;98.6;2.0;3.4;26.4;37.2;75;86;46.6;-2.2;46;67;40.7;-7.4;0;69;36
332;45;28;11;4;3;5;4;1;0;0;0;0;0;18;3;2;2;62;58;59;16;8258;1050;284;108.5;3.9;1.7;27.0;28.8;115;120;48.9;-9.4;80;86;48.2;-10.4;0;124;66
333;57;12;2;0;1;0;2;0;0;0;0;0;0;1;1;0;0;59;53;67;0;1020;160;0;103.2;3.5;3.5;24.7;31.8;12;15;44.4;-7.7;9;11;45.0;-3.0;0;9;4
335;44;30;1;0;0;-2;0;0;0;0;0;0;0;3;0;0;2;45;50;38;2;804;0;178;71.4;0.0;9.0;35.8;31.3;13;12;52.0;16.6;11;8;57.9;22.3;0;0;0
341;50;26;5;0;2;-3;0;0;0;0;0;0;0;13;0;1;5;65;50;77;4;4700;0;565;95.2;2.3;4.6;26.8;34.5;64;90;41.6;-1.7;48;65;42.5;-1.6;0;0;0
343;12;12;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;60;58;63;5;738;0;84;112.5;4.9;0.0;39.0;48.8;13;12;52.0;-2.5;10;12;45.5;-10.3;0;0;0
353;33;29;5;1;4;-2;0;0;2;0;1;0;0;7;1;2;2;69;61;77;14;3474;1109;99;95.5;1.0;3.1;34.2;41.5;61;67;47.7;0.6;49;51;49.0;1.3;0;1;0
361;27;27;7;1;0;-3;2;0;0;0;0;0;0;12;10;1;3;64;63;57;25;6197;58;0;95.2;1.2;2.9;36.6;36.6;103;107;49.0;-2.1;77;73;51.3;0.4;0;0;0
366;57;12;9;0;3;-3;0;0;1;0;0;0;0;11;2;1;1;59;54;58;16;4948;500;300;84.9;3.6;5.8;42.9;24.7;93;62;60.0;1.1;72;44;62.1;2.9;0;9;6
370;62;19;5;1;1;1;2;0;0;0;0;0;0;4;0;0;0;57;52;57;4;2385;0;0;108.1;4.5;3.0;25.7;31.7;31;52;37.3;-16.1;24;33;42.1;-8.2;0;22;7
398;12;12;7;0;2;4;4;0;0;0;0;0;0;4;1;3;14;63;51;78;8;7686;0;790;106.2;2.8;0.9;32.3;37.0;122;128;48.8;0.8;82;96;46.1;-0.8;0;0;0
401;8;8;4;1;0;-1;0;0;0;0;0;0;0;1;0;3;0;59;56;62;7;2557;0;0;94.2;1.4;2.8;29.6;26.7;34;32;51.5;-1.1;26;22;54.2;1.1;1;2;0
402;1;1;2;3;0;1;0;0;0;0;0;0;0;0;3;1;2;60;61;54;5;1638;1;0;103.1;6.6;4.4;48.3;41.7;35;25;58.3;16.6;28;21;57.1;14.0;0;0;0
407;29;29;7;2;3;7;0;0;0;0;0;0;0;7;6;3;2;66;63;62;13;5455;0;0;110.2;5.3;0.7;42.2;28.4;97;58;62.6;5.1;71;47;60.2;4.1;1;0;0
408;18;18;7;0;1;5;0;0;0;0;0;0;0;8;3;7;6;63;57;64;16;8794;143;399;101.7;4.5;2.5;39.7;25.4;165;108;60.4;2.2;118;73;61.8;1.9;0;0;0
427;12;12;7;2;1;3;0;0;0;0;0;0;0;14;2;1;1;64;63;60;7;4659;42;0;109.0;4.6;2.3;30.1;36.3;61;70;46.6;-2.1;42;57;42.4;-5.1;0;0;0
430;27;27;7;4;5;-2;2;1;1;0;0;0;0;5;13;5;1;67;70;58;39;7458;786;290;95.1;3.9;4.8;45.9;36.2;142;125;53.2;3.9;106;90;54.1;4.6;2;5;2
473;1;1;7;2;6;1;0;0;1;0;0;0;0;9;6;3;2;74;80;61;15;6643;1185;0;102.1;4.3;3.3;41.2;38.5;108;115;48.4;-1.4;85;84;50.3;1.9;0;3;1
491;27;27;7;3;2;3;2;0;0;0;0;0;0;7;12;2;2;68;71;60;16;6452;0;1;106.1;4.5;2.8;33.5;38.5;93;101;47.9;-3.5;72;80;47.4;-4.9;1;0;0
502;44;30;5;1;2;4;7;0;0;0;0;1;0;7;2;2;4;65;55;76;8;5675;234;452;115.8;4.4;1.9;21.6;40.0;68;112;37.8;4.4;46;82;35.9;0.6;1;0;0
506;58;24;7;2;1;0;0;0;0;0;0;0;0;6;1;3;9;63;56;69;12;5676;37;0;100.5;2.5;2.5;24.7;26.0;71;75;48.6;3.3;52;55;48.6;1.9;1;0;0
510;54;10;10;1;0;-1;0;0;0;0;0;0;0;11;0;1;1;56;53;53;8;4677;30;459;99.0;2.3;3.1;29.2;34.6;77;71;52.0;1.7;56;57;49.6;-1.3;0;43;25
517;44;30;5;0;4;-10;0;0;0;0;0;0;0;4;1;0;12;59;53;68;5;4651;0;841;89.2;2.3;10.1;19.4;44.1;42;95;30.7;-6.0;33;72;31.4;-5.8;0;0;0
522;8;8;7;2;2;-7;0;1;1;0;0;0;0;8;9;4;8;71;75;62;15;7668;903;107;90.4;0.9;4.2;30.5;33.3;100;119;45.7;-8.5;76;84;47.5;-8.2;0;4;0
545;40;20;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;58;60;45;0;979;101;0;102.5;3.7;3.7;29.4;36.8;13;19;40.6;-6.2;10;15;40.0;-5.6;0;0;0
549;60;18;5;1;0;-2;2;0;0;0;0;0;0;4;0;0;0;62;54;65;6;2569;110;637;92.2;1.4;4.2;37.8;36.4;35;52;40.2;-12.0;31;39;44.3;-8.8;0;30;9
552;62;19;4;2;3;3;0;0;0;1;0;0;0;6;4;1;9;66;54;78;12;4177;110;287;108.3;4.3;2.6;25.9;31.0;61;79;43.6;-11.0;44;58;43.1;-9.2;0;0;0
554;18;18;3;0;1;-4;0;0;0;0;0;0;0;5;0;1;3;56;59;50;10;3270;0;0;85.3;3.3;7.7;46.2;35.2;63;45;58.3;-0.9;50;34;59.5;1.2;0;0;0
581;29;29;7;0;1;-4;0;0;0;0;0;0;0;10;2;7;3;60;56;64;15;7973;100;350;94.1;1.4;3.2;28.0;29.3;117;99;54.2;-6.6;76;80;48.7;-12.3;0;0;0
609;50;26;5;1;0;-2;2;0;0;0;0;0;0;6;0;2;2;61;57;64;11;4311;460;118;94.5;1.7;3.3;25.1;27.6;63;70;47.4;6.2;48;53;47.5;5.3;0;2;0
618;0;0;7;2;1;-2;0;0;0;0;0;0;0;3;7;5;1;60;57;59;9;5530;0;547;98.9;2.6;3.9;23.4;31.9;68;83;45.0;5.3;43;65;39.8;0.5;1;11;5
676;44;30;5;5;2;-1;4;0;0;0;0;0;0;3;1;1;3;63;68;50;8;4863;845;0;121.7;5.9;6.7;15.5;40.7;48;100;32.4;-3.7;35;73;32.4;-4.5;0;0;0
678;60;18;10;3;4;4;2;0;0;0;0;0;0;6;1;5;8;57;52;61;14;11117;259;364;103.6;4.2;2.9;31.7;30.1;168;171;49.6;-1.4;130;125;51.0;-0.1;1;0;0
684;56;56;10;1;2;1;2;0;0;0;0;0;0;5;1;3;2;62;55;67;9;5028;48;936;103.0;2.9;2.1;31.5;35.1;76;90;45.8;-7.8;58;67;46.4;-7.1;0;78;38
686;33;33;2;0;0;-4;0;0;0;0;0;0;0;3;0;0;1;59;54;60;0;1480;96;0;75.0;0.0;9.7;19.5;38.9;23;29;44.2;2.2;12;22;35.3;-11.2;0;0;0
692;40;40;6;1;3;0;2;0;1;0;0;0;0;8;0;1;2;62;61;57;12;3756;724;47;105.9;3.8;3.8;24.9;40.3;49;63;43.8;0.6;41;52;44.1;1.7;1;9;5
696;33;29;5;3;4;4;2;0;0;0;1;0;0;5;0;1;8;69;65;64;14;5204;239;409;104.2;4.8;2.8;40.1;35.3;91;97;48.4;1.8;74;70;51.4;5.2;0;75;29
697;12;12;7;1;5;2;0;0;2;0;0;0;0;13;1;10;13;66;56;74;19;9561;114;692;102.6;3.0;2.3;33.1;34.6;150;134;52.8;7.2;104;105;49.8;5.0;0;0;0
714;54;10;10;0;3;-2;2;0;0;0;0;0;0;5;2;4;2;58;54;59;9;5801;30;563;100.1;1.9;3.1;24.8;42.2;81;106;43.3;-8.8;59;82;41.8;-10.7;0;0;0
717;18;18;7;2;3;2;0;0;0;0;0;0;0;4;2;2;1;62;61;59;10;5910;25;77;101.1;4.3;3.0;32.9;25.6;83;64;56.5;-3.3;69;50;58.0;-3.3;1;65;31
720;44;30;4;0;1;-2;0;0;0;0;0;0;0;3;0;0;2;55;53;53;5;1714;146;0;90.0;2.1;6.3;31.5;37.8;22;32;40.7;4.5;17;24;41.5;4.4;0;10;4
731;32;23;11;4;1;-1;4;1;0;0;0;0;0;27;2;2;7;71;62;77;33;11759;2370;607;98.2;3.4;3.1;35.5;27.2;202;185;52.2;0.7;159;134;54.3;4.3;0;0;0
