PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
7;30;30;4;0;1;-1;0;0;0;0;0;0;0;2;3;4;0;61;55;64;8;2462;0;56;92.2;1.5;2.9;26.3;21.9;32;22;59.3;9.9;23;16;59.0;5.2;0;28;17
16;14;14;4;0;3;1;0;0;0;0;0;0;0;3;1;2;4;56;54;58;12;4117;0;392;93.5;3.5;2.6;53.3;20.1;95;32;74.8;18.9;71;27;72.4;20.2;0;0;0
25;44;30;3;1;1;1;0;0;0;0;0;0;0;3;3;2;5;62;54;70;5;3265;424;274;104.6;3.3;2.2;27.6;29.8;60;44;57.7;-7.3;41;33;55.4;-12.0;1;0;0
30;59;1;7;1;2;5;4;0;1;0;0;0;0;10;1;3;21;69;51;82;11;6507;55;1778;105.0;3.9;1.1;38.7;22.1;106;89;54.4;1.9;85;59;59.0;7.9;1;0;0
66;29;29;1;0;0;1;0;0;0;0;0;0;0;2;0;1;0;63;53;75;1;1316;7;60;114.3;2.7;0.0;19.1;43.8;9;23;28.1;4.7;7;21;25.0;6.8;0;0;0
74;59;1;6;0;0;2;2;0;0;0;0;0;0;6;1;3;2;69;57;79;11;5577;0;794;99.9;1.9;0.6;33.6;11.0;104;52;66.7;5.8;69;32;68.3;8.8;0;19;8
82;28;28;3;0;2;5;0;0;0;0;0;0;0;7;3;6;10;73;62;83;14;3457;864;94;103.6;7.3;2.1;59.3;23.9;84;44;65.6;10.5;63;29;68.5;16.7;0;0;0
83;43;17;7;1;4;-2;4;0;0;0;0;0;0;11;1;2;3;65;62;64;10;5795;176;1025;97.2;2.5;3.7;35.4;37.9;101;87;53.7;-1.5;75;75;50.0;-5.7;0;21;14
93;18;18;6;1;2;-1;0;0;0;0;0;0;0;3;5;2;1;61;58;61;11;4224;151;162;98.2;2.6;3.4;39.2;40.9;73;65;52.9;0.1;53;54;49.5;-3.1;0;4;0
94;29;29;3;0;1;-4;0;0;0;0;0;0;0;3;0;1;3;56;55;46;7;3532;266;127;95.6;2.0;6.1;24.5;47.9;37;59;38.5;-6.2;27;52;34.2;-9.0;0;0;0
110;38;25;7;0;4;-3;6;0;0;0;0;0;0;6;4;2;16;65;49;85;9;6520;146;1424;101.1;2.8;4.4;22.1;38.7;79;108;42.2;-6.5;54;86;38.6;-9.0;0;0;0
111;152;152;4;0;3;-1;4;0;3;0;0;0;0;6;2;2;6;65;61;68;11;4059;804;144;96.2;1.8;2.7;31.9;28.4;55;50;52.4;-1.1;44;35;55.7;2.1;0;0;0
112;48;14;7;3;6;5;2;1;3;0;0;0;0;8;3;2;7;72;69;72;31;6655;970;192;108.9;3.2;0.5;30.8;33.0;111;113;49.6;0.7;81;84;49.1;0.4;1;11;5
117;33;29;7;1;0;-3;6;0;0;0;0;0;0;9;5;5;9;73;66;79;25;6661;1719;203;98.0;1.1;2.2;24.3;33.5;84;105;44.4;-0.4;59;82;41.8;-3.3;0;18;7
118;10;10;4;5;2;2;8;1;0;0;0;0;0;3;5;1;3;60;60;56;9;3226;192;0;109.3;6.7;4.5;31.2;36.8;35;53;39.8;-8.5;28;41;40.6;-7.1;0;42;19
128;17;17;7;1;5;1;2;0;0;0;0;0;0;6;6;6;2;62;56;68;5;4496;0;845;102.4;4.8;4.0;36.8;37.6;61;63;49.2;-12.0;49;49;50.0;-9.8;0;63;41
134;32;30;5;0;0;-5;4;0;0;0;0;0;0;2;1;1;2;59;56;60;6;3414;391;785;80.8;0.0;5.3;31.6;27.4;56;40;58.3;-7.0;41;34;54.7;-12.5;0;20;8
137;7;7;7;2;3;1;2;0;0;0;0;0;0;3;0;0;0;57;56;55;7;3248;0;223;97.7;6.6;5.5;49.9;35.5;65;45;59.1;2.4;51;38;57.3;-2.0;0;43;23
142;14;14;1;0;1;1;0;0;0;0;0;0;0;1;0;2;0;65;59;70;7;851;146;138;66.7;8.5;4.2;50.7;8.5;15;2;88.2;39.8;13;2;86.7;39.5;0;0;0
143;41;7;3;1;0;-3;0;0;0;0;0;0;0;3;0;0;3;57;57;52;2;2254;0;144;94.1;1.6;6.4;25.6;52.7;34;55;38.2;1.4;26;44;37.1;0.8;1;3;1
153;3;3;1;0;1;1;0;0;0;0;0;0;0;2;0;0;0;62;60;65;0;484;0;0;125.0;7.4;0.0;29.7;74.3;7;12;36.8;5.8;5;11;31.3;-0.7;0;0;0
157;54;10;3;0;1;3;0;0;0;0;0;0;0;3;0;3;0;71;59;81;2;2170;144;394;113.0;5.0;0.0;38.2;16.6;32;22;59.3;10.6;23;16;59.0;9.4;0;33;18
166;53;8;7;1;3;3;4;0;2;0;0;0;0;4;0;1;3;71;62;81;15;4662;2458;0;107.3;3.1;0.8;31.7;30.9;76;79;49.0;-5.6;55;53;50.9;-4.0;0;1;1
170;24;24;7;0;1;-6;5;0;0;0;0;0;0;12;1;3;15;58;52;63;7;7935;0;488;95.9;1.8;4.5;26.3;41.3;79;147;35.0;-7.8;66;108;37.9;-6.5;0;0;0
192;59;1;6;1;2;2;0;0;0;0;0;0;0;3;0;2;1;60;58;60;7;3749;0;401;96.9;3.8;2.9;36.5;21.1;74;42;63.8;-2.3;51;32;61.4;-4.3;0;4;2
205;38;10;3;0;0;0;4;0;0;0;0;0;0;7;2;2;1;72;63;81;4;2266;482;37;100.4;1.6;1.6;23.8;25.4;33;34;49.3;-9.5;22;23;48.9;-15.1;0;2;1
207;29;29;7;1;0;-4;2;0;0;0;0;0;0;5;6;5;2;61;53;67;9;5589;15;1010;95.2;1.3;3.9;35.4;45.7;84;100;45.7;-3.4;60;75;44.4;-3.9;0;98;46
209;25;25;4;0;1;2;2;0;0;0;0;0;0;2;1;4;4;61;55;69;2;4105;46;275;108.4;3.5;1.8;25.4;32.4;47;57;45.2;-9.3;35;45;43.8;-11.3;0;0;0
215;30;30;7;2;2;0;2;1;0;0;0;0;0;8;3;5;13;64;59;71;40;8068;547;335;96.1;3.1;3.1;46.4;29.4;152;106;58.9;5.6;122;83;59.5;7.7;0;0;0
