PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
7;44;30;56;12;16;5;22;0;2;0;2;0;0;36;18;21;43;68;61;71;100;48707;3474;7894;99.9;2.5;2.4;28.1;26.2;748;670;52.8;1.1;553;493;52.9;1.9;4;246;141
16;14;14;54;3;11;13;15;0;0;0;1;1;0;71;17;40;102;61;51;71;79;57289;275;7656;101.8;3.4;2.7;34.9;34.1;886;867;50.5;-0.2;660;643;50.7;1.7;0;0;0
25;38;38;68;11;13;3;40;5;1;0;1;0;0;75;9;19;76;59;52;66;109;62715;6550;6315;102.0;2.9;2.7;30.0;35.7;915;1150;44.3;-1.8;704;837;45.7;-0.3;0;0;0
30;1;1;62;0;12;6;16;0;0;0;0;0;0;54;13;31;98;57;51;64;55;51742;182;6707;100.7;3.8;3.4;32.4;31.2;709;739;49.0;2.6;543;507;51.7;4.5;0;0;0
43;153;152;67;14;13;35;95;0;1;0;1;0;0;119;12;20;86;63;51;77;128;64913;607;9689;99.9;4.0;2.2;39.0;20.7;1303;741;63.7;6.4;942;551;63.1;5.5;3;0;0
66;124;124;3;1;1;-7;0;1;1;0;0;0;0;6;0;0;3;55;57;48;1;2980;23;101;79.4;0.0;8.5;25.4;41.1;37;49;43.0;-7.0;27;43;38.6;-8.4;0;0;0
74;60;18;73;8;21;-10;50;0;0;2;3;0;0;71;20;30;31;70;59;76;157;67568;502;11274;97.2;2.1;2.9;30.9;30.3;1014;1092;48.1;0.0;773;785;49.6;1.5;1;177;77
82;28;28;49;5;12;12;17;0;0;0;0;1;1;41;6;34;62;60;55;63;90;45525;391;2762;101.6;4.0;3.1;36.5;33.4;757;650;53.8;1.4;543;490;52.6;-0.4;1;0;0
93;29;29;82;15;37;8;18;2;4;0;0;0;0;75;75;53;24;72;77;63;153;75738;8201;13;101.1;3.8;3.1;36.4;33.5;1282;1188;51.9;0.6;908;832;52.2;1.6;1;22;8
107;62;19;61;23;19;4;22;4;2;1;0;0;0;70;14;19;55;69;64;69;148;54514;5069;4598;97.9;3.8;3.6;34.8;27.3;983;764;56.3;3.3;721;592;54.9;2.5;2;70;33
110;38;25;75;2;12;-7;46;0;0;0;0;0;0;91;19;35;171;61;49;74;56;74993;615;15152;99.4;2.7;3.2;28.3;31.0;1090;1193;47.7;2.7;811;903;47.3;1.6;1;1;0
112;48;14;76;27;40;-7;22;17;15;0;0;0;0;72;21;13;52;68;67;65;230;58520;21378;165;99.7;3.1;3.4;31.3;32.8;933;973;49.0;0.6;691;731;48.6;0.1;0;70;35
117;154;154;67;5;17;-4;16;0;0;0;0;0;0;80;47;20;16;62;59;60;84;41655;300;269;99.7;2.2;2.5;27.5;30.8;532;556;48.9;2.1;384;426;47.4;-0.5;2;0;0
