StaffId;Executive;Manager;Coach;Scout;Trainer;Off Pref;Phy Pref;Line Matching;Goalie Handling;Favor Veterans;Innovation;Loyalty;Coaching G;Coaching Defense;Coaching Forwards;Coaching Prospects;Def Skills;Off Skills;Phy Training;Player Management;Motivation;Discipline;Negotiating;Self-Preservation;Tactics;Ingame Tactics;Trainer Skill;Evaluate Abilities;Evaluate Potential
0;0;0;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;17;13;14;17;13;16;13;11;12;10;10;14;15;0;;12;14
1;1;10;16;20;1;Standard;Balanced;Passive;Balanced;Balanced;Conservative;Loyal;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1
2;1;15;20;15;1;Defensive;Non-physical;Passive;Conservative;Prefers Veterans;Conservative;Ruthless;16;16;16;14;15;15;12;16;15;15;14;16;16;15;0;;16;12
3;0;15;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;14;17;17;15;16;16;17;15;13;15;14;15;13;0;;15;13
4;0;0;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;20;12;16;16;16;15;11;11;10;10;13;14;0;;15;13
5;0;0;20;15;1;Standard;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;11;15;17;11;13;17;17;19;12;13;10;14;16;17;0;;15;13
6;1;14;20;15;1;Defensive;Physical;Balanced;Balanced;Prefers Veterans;Conservative;Balanced;13;16;15;13;16;13;17;15;16;18;13;16;16;15;0;;15;13
7;1;10;20;15;1;Defensive;Balanced;Balanced;Aggressive;Balanced;Balanced;Loyal;11;17;14;16;16;15;15;17;9;12;12;10;15;15;0;;12;15
8;1;13;20;15;1;Standard;Balanced;Aggressive;Conservative;Balanced;Conservative;Balanced;15;19;17;14;19;13;15;19;18;17;12;16;19;18;0;;16;12
9;0;12;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;15;15;15;14;19;15;16;15;13;10;14;15;15;0;;14;12
10;0;0;20;15;1;Offensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;12;15;18;11;18;13;17;14;12;12;10;13;14;15;0;;13;11
11;0;0;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;11;19;14;14;17;12;16;11;8;10;11;15;16;0;;14;12
12;1;11;20;15;1;Defensive;Physical;Aggressive;Balanced;Prefers Veterans;Conservative;Ruthless;12;14;17;14;15;17;15;18;17;17;12;14;16;19;0;;16;12
13;1;15;20;15;1;Standard;Physical;Passive;Aggressive;Balanced;Balanced;Balanced;13;14;16;15;14;16;16;12;15;14;11;14;15;15;0;;16;14
14;0;15;18;20;1;Defensive;Physical;Aggressive;Aggressive;Prefers Veterans;Conservative;Balanced;11;16;15;11;18;12;15;19;16;18;20;18;15;16;0;;15;12
15;0;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;15;12;10;10;10;14;10;11;14;11;12;10;0;;20;17
16;0;10;20;17;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;20;12;14;16;11;18;16;12;14;10;14;14;14;0;;15;12
17;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;11;10;10;12;10;10;10;0;;10;10
18;0;15;13;20;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;12;12;11;9;11;12;12;14;16;14;16;16;9;10;0;;19;16
19;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;14;9;6;14;10;10;7;10;10;9;10;10;10;0;;9;14
20;0;15;10;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;8;12;10;12;13;8;12;15;14;18;14;9;11;0;;17;13
21;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
22;20;0;0;0;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
23;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
24;0;15;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;11;8;11;12;9;12;12;16;16;18;18;8;8;0;;17;16
25;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
26;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
27;0;20;12;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;14;10;10;8;12;10;12;12;16;16;17;18;9;9;0;;17;13
28;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
29;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
30;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
31;20;0;0;0;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
32;0;20;10;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;12;10;12;11;9;9;10;14;13;13;17;12;11;10;0;;15;13
33;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
34;0;20;10;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;9;13;11;14;10;12;14;17;20;19;19;10;14;0;;18;16
35;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
36;0;15;10;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;10;7;10;11;12;9;12;12;15;12;17;11;9;0;;17;14
37;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;12;10;10;10;0;;10;10
38;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
39;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Prefers Prospects;Balanced;Balanced;10;10;10;10;10;10;10;8;8;10;10;15;10;10;0;;10;10
40;0;20;15;17;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;12;10;10;10;10;18;10;12;15;13;14;10;0;;16;13
41;0;20;15;15;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;11;13;11;11;13;10;16;12;13;17;12;13;11;0;;15;12
42;20;0;0;0;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;11;13;11;10;10;10;13;10;10;10;10;10;10;0;;13;12
43;0;20;14;20;1;Defensive;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;13;15;12;9;15;12;14;12;14;17;16;17;14;15;0;;16;14
44;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
45;0;20;15;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;13;13;11;13;12;11;12;15;17;18;14;13;13;0;;16;14
46;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
47;0;17;17;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;16;14;14;16;12;14;18;14;17;14;15;15;0;;18;16
48;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
49;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
50;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;12;10;10;0;;10;10
51;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
52;0;0;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;12;17;11;13;18;11;13;14;11;12;10;11;14;13;0;;13;11
53;1;10;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;16;16;15;16;13;14;14;12;11;10;10;16;14;0;;13;10
54;0;10;16;19;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;16;15;16;10;14;18;11;13;10;12;14;15;0;;16;12
55;0;0;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;19;10;10;18;11;10;14;15;10;9;10;9;10;10;0;;14;12
56;0;20;15;17;1;Defensive;Balanced;Balanced;Balanced;Balanced;Conservative;Ruthless;11;12;13;11;11;12;10;13;11;13;13;14;12;10;0;;12;15
57;0;0;20;15;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;12;11;15;14;14;15;12;17;12;10;10;10;14;17;0;;14;12
58;1;15;20;15;1;Standard;Balanced;Passive;Aggressive;Prefers Prospects;Balanced;Ruthless;13;15;16;17;16;15;13;16;16;14;14;15;15;15;0;;15;13
59;0;0;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;12;11;16;14;16;14;14;14;10;10;10;8;13;12;0;;13;11
60;0;0;20;15;1;Defensive;Non-physical;Balanced;Conservative;Balanced;Balanced;Balanced;19;10;11;18;12;11;10;16;11;11;10;13;9;10;0;;12;14
61;0;0;20;15;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;11;16;12;12;15;10;18;13;11;14;10;11;13;14;0;;13;11
62;0;0;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;17;12;10;14;12;11;12;15;10;10;11;10;12;13;0;;12;11
63;1;10;20;15;1;Defensive;Physical;Balanced;Conservative;Prefers Veterans;Conservative;Very Loyal;12;18;15;15;20;14;18;14;13;10;11;11;16;15;0;;13;11
64;0;14;20;15;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;13;18;15;12;15;13;17;15;14;12;11;16;17;0;;13;15
65;0;0;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;18;12;11;17;13;10;14;15;11;12;10;11;13;8;0;;14;12
66;1;14;20;15;1;Standard;Physical;Aggressive;Conservative;Balanced;Balanced;Ruthless;14;14;17;13;15;18;16;17;15;15;12;14;16;15;0;;16;13
67;0;0;15;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;10;12;16;14;11;14;13;10;10;13;12;8;10;0;;16;11
68;0;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;11;13;11;10;10;10;14;10;12;10;10;10;11;0;;18;13
69;0;0;20;15;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;13;19;13;18;12;13;15;12;13;10;12;13;14;0;;15;12
70;1;11;20;15;1;Offensive;Physical;Aggressive;Balanced;Balanced;Innovative;Loyal;10;16;19;14;15;18;15;20;16;15;10;17;17;16;0;;15;12
71;0;0;20;15;1;Very Defensive;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;20;10;11;19;13;10;9;15;15;12;12;15;8;8;0;;12;14
72;0;0;20;15;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;11;15;11;15;18;10;16;15;13;15;12;12;13;12;0;;13;11
73;0;0;20;17;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;16;12;17;17;14;15;15;11;12;12;15;14;16;0;;13;11
74;1;11;20;15;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;14;18;16;15;17;14;19;16;17;17;10;16;16;15;0;;15;13
75;0;0;20;15;1;Defensive;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;18;11;12;16;11;10;11;18;11;10;12;10;11;11;0;;13;11
76;1;10;20;15;1;Standard;Balanced;Balanced;Conservative;Balanced;Conservative;Loyal;12;17;15;13;17;16;15;16;9;8;9;8;16;17;0;;12;10
77;0;10;15;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;11;10;11;10;10;10;13;10;11;12;11;10;10;0;;14;17
78;0;0;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;16;10;12;15;11;10;14;14;15;13;12;11;12;11;0;;14;10
