League Id;Team Id;Conf Id;Div Id;Wins;Losses;Ties;OTL;Shootout Wins;Shootout Losses;Points;Goals For;Goals Against;PCT
0;0;0;1;37;28;0;1;2;1;76;276;223;.567
0;1;0;0;35;25;0;1;0;2;73;212;203;.579
0;2;1;0;36;25;0;1;2;2;75;216;180;.586
0;3;1;0;29;26;0;5;1;3;66;251;221;.524
0;7;1;0;37;20;0;3;2;4;81;245;203;.633
0;8;1;1;33;26;0;3;2;5;74;226;231;.552
0;9;1;0;37;19;0;5;3;4;83;247;203;.638
0;10;0;1;21;40;0;6;3;0;48;181;269;.358
0;12;1;1;39;20;0;4;4;3;85;264;216;.644
0;14;0;1;39;24;0;3;2;0;81;261;240;.614
0;17;1;1;29;33;0;1;3;1;60;198;248;.469
0;18;1;0;37;24;0;2;1;0;76;245;216;.603
0;19;1;1;27;31;0;4;5;2;60;169;212;.469
0;20;0;0;34;28;0;3;4;1;72;228;241;.545
0;21;0;0;29;30;0;4;1;2;64;225;267;.492
0;23;0;1;30;29;0;1;4;3;64;210;227;.508
0;24;1;1;26;31;0;2;0;4;58;213;217;.460
0;25;0;0;33;28;0;2;2;4;72;231;245;.537
0;26;0;1;26;35;0;0;4;1;53;171;230;.427
0;27;1;0;35;25;0;2;1;2;74;277;215;.578
0;28;1;1;22;34;0;3;0;5;52;203;251;.406
0;29;0;1;40;20;0;3;1;1;84;272;213;.656
0;30;0;0;45;14;0;1;3;3;94;218;145;.746
0;31;1;1;40;18;0;4;4;1;85;245;205;.675
0;124;0;0;26;35;0;4;3;1;57;207;270;.432
0;152;0;1;17;40;0;5;1;3;42;176;276;.323
1;32;0;1;34;26;0;1;3;3;72;212;183;.563
1;33;0;1;37;24;0;1;6;3;78;207;209;.600
1;34;0;0;24;33;0;1;5;5;54;189;229;.429
1;36;1;1;22;38;0;1;0;2;47;160;219;.373
1;37;0;0;29;28;0;1;2;5;64;200;224;.508
1;38;1;0;34;21;0;2;3;6;76;205;164;.603
1;40;1;0;27;31;0;2;8;4;60;185;226;.469
1;41;1;0;28;33;0;1;3;3;60;203;208;.462
1;43;1;1;29;26;0;2;0;6;66;191;211;.524
1;44;1;1;34;27;0;1;1;2;71;204;212;.555
1;45;1;1;43;18;0;2;2;0;88;245;171;.698
1;47;0;1;25;35;0;1;2;2;53;195;238;.421
1;48;0;0;30;29;0;1;3;5;66;208;230;.508
1;50;0;1;31;26;0;1;0;5;68;201;187;.540
1;53;1;0;18;40;0;2;3;3;41;150;232;.325
1;54;0;0;29;29;0;3;4;3;64;219;211;.500
1;55;0;0;44;16;0;1;5;3;92;223;170;.719
1;56;0;1;37;22;0;2;2;1;77;226;173;.621
1;57;1;1;42;20;0;1;1;2;87;237;155;.669
1;58;1;1;43;16;0;1;5;2;89;214;165;.718
1;59;0;1;34;32;0;0;3;1;69;201;201;.515
1;60;1;0;37;20;0;3;3;2;79;219;187;.637
1;62;0;0;40;21;0;1;3;3;84;211;171;.646
1;123;1;0;27;34;0;2;5;3;59;182;231;.447
1;125;1;1;22;38;0;2;3;1;47;169;250;.373
1;153;0;1;29;28;0;2;5;5;65;194;193;.508
2;85;0;0;36;17;0;3;2;2;77;227;173;.664
2;86;0;0;22;34;0;0;2;2;46;189;253;.397
2;87;0;0;19;35;0;2;1;1;41;174;271;.360
2;88;0;0;42;11;0;1;1;4;89;297;170;.767
