TeamId;GP;G;GA;S;SA;FO%;SB;H;TkA;GvA;InD;PIM/G;PP Ch;PPG;SH GA;SH Ch;PP GA;SHG;Att Total Home;Att Total Away;Att Avg Home;Att Avg Away;Sellouts Home;Sellouts Away;Capacity Use %
126;70;226;209;2166;2038;46.8;949;1352;386;341;77;8.20;218;40;6;205;39;4;0;0;0;0;0;0;0
127;70;239;179;2404;1860;49.1;916;1382;389;409;381;7.47;238;45;8;187;36;2;0;0;0;0;0;0;0
130;70;246;184;2216;2107;51.4;1058;1367;386;388;45;9.24;209;47;5;207;30;5;0;0;0;0;0;0;0
131;70;353;108;3404;1167;53.1;609;1390;441;434;78;7.19;239;60;4;176;21;11;0;0;0;0;0;0;0
132;70;238;185;2448;1825;53.0;952;1369;396;375;107;8.57;218;41;4;202;38;4;0;0;0;0;0;0;0
133;70;266;211;2306;1947;50.2;993;1251;380;401;310;8.73;205;53;4;241;47;6;0;0;0;0;0;0;0
134;70;244;249;2242;2283;49.2;1147;1385;301;383;131;9.10;218;49;1;228;50;1;0;0;0;0;0;0;0
135;70;299;157;2846;1558;53.7;772;1290;376;393;73;7.86;212;61;2;198;26;4;0;0;0;0;0;0;0
140;70;197;222;1949;2433;50.0;1091;1287;454;410;249;7.76;188;41;6;206;49;5;0;0;0;0;0;0;0
142;70;331;122;3131;1298;51.4;619;1265;378;375;121;7.74;236;56;5;205;24;6;0;0;0;0;0;0;0
143;70;249;211;2337;2057;50.1;994;1414;351;382;143;9.10;223;50;5;229;52;6;0;0;0;0;0;0;0
144;70;272;154;2772;1542;53.2;812;1295;376;418;155;8.66;215;46;2;207;36;7;0;0;0;0;0;0;0
145;70;244;233;2198;2077;49.8;990;1274;327;395;103;7.10;212;41;5;230;48;8;0;0;0;0;0;0;0
147;70;237;216;2328;2041;51.4;975;1384;368;410;253;6.86;230;46;7;193;34;4;0;0;0;0;0;0;0
148;70;286;171;2646;1732;48.9;874;1370;359;346;158;7.93;215;53;2;184;38;9;0;0;0;0;0;0;0
151;70;197;250;2051;2330;48.4;1151;1516;365;353;197;8.73;237;38;9;205;36;5;0;0;0;0;0;0;0
