PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
8;44;30;3;184;0;2;1;102;89;13;4.23;0;.873;65
124;54;54;3;162;1;2;0;98;86;12;4.44;0;.878;55
283;41;41;3;135;1;1;0;70;62;8;3.54;0;.886;61
665;125;124;3;192;3;0;0;86;78;8;2.50;0;.907;68
1021;50;26;3;179;1;2;0;126;117;9;3.01;0;.929;81
1831;155;155;3;158;2;1;0;76;66;10;3.78;0;.868;57
1835;123;31;3;180;1;2;0;111;99;12;4.00;0;.892;63
2115;56;21;3;191;3;0;0;98;93;5;1.57;1;.949;88
2664;45;28;3;184;1;1;1;99;88;11;3.57;0;.889;69
2756;59;1;3;180;2;1;0;113;108;5;1.67;0;.956;91
2770;153;152;3;178;2;1;0;84;76;8;2.69;0;.905;64
2845;156;156;4;239;1;3;0;87;74;13;3.26;0;.851;53
2921;155;155;1;20;0;0;0;9;9;0;0.00;0;1.000;60
3318;44;30;1;5;0;0;0;7;7;0;0.00;0;1.000;62
3319;55;9;3;188;1;2;0;86;75;11;3.49;0;.872;58
3395;58;58;3;184;2;1;0;105;98;7;2.28;0;.933;83
3656;62;62;3;191;0;1;2;100;89;11;3.45;0;.890;64
3756;57;12;3;130;2;1;0;58;52;6;2.77;0;.897;55
3894;41;41;1;43;0;1;0;38;32;6;8.22;0;.842;56
5423;144;8;3;180;0;3;0;100;90;10;3.33;0;.900;67
5451;151;152;7;389;3;4;0;230;207;23;3.54;0;.900;66
5483;151;152;1;27;0;0;0;16;15;1;2.15;0;.938;57
5711;142;23;2;120;2;0;0;54;53;1;0.50;1;.981;90
6092;135;135;7;419;3;3;1;187;166;21;3.01;0;.888;62
6182;148;30;4;239;1;3;0;117;105;12;3.01;0;.897;65
6187;139;139;5;300;2;3;0;173;158;15;2.99;0;.913;73
6283;138;138;10;599;7;3;0;305;284;21;2.10;0;.931;75
6491;132;12;5;299;2;3;0;139;122;17;3.41;0;.878;60
6495;126;124;4;239;1;3;0;107;95;12;3.01;0;.888;61
6527;54;10;1;17;0;0;0;8;8;0;0.00;0;1.000;58
6539;127;31;3;184;0;2;1;75;63;12;3.90;0;.840;48
6545;34;2;3;189;2;0;1;114;104;10;3.16;0;.912;74
