PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
0;18;18;2;47;0;0;0;24;19;5;6.28;0;.792;43
8;44;30;4;168;1;2;0;89;74;15;5.34;0;.831;42
102;60;60;6;259;2;3;0;139;125;14;3.24;0;.899;63
167;56;56;5;300;5;0;0;114;107;7;1.40;1;.939;70
283;41;41;4;245;4;0;0;132;120;12;2.94;0;.909;66
294;50;26;3;180;2;1;0;94;83;11;3.67;0;.883;60
443;7;7;3;179;2;1;0;90;84;6;2.01;1;.933;86
526;123;31;3;179;2;1;0;69;61;8;2.67;0;.884;57
530;12;12;6;358;3;3;0;182;160;22;3.68;0;.879;64
536;27;27;7;421;4;2;1;268;245;23;3.28;0;.914;83
540;21;21;4;243;2;2;0;108;95;13;3.20;0;.880;64
567;24;24;6;358;5;1;0;209;191;18;3.01;0;.914;78
613;38;25;4;215;2;2;0;140;121;19;5.28;0;.864;54
650;53;53;3;185;0;2;1;120;110;10;3.24;0;.917;82
665;125;124;4;181;1;1;0;101;88;13;4.30;0;.871;54
668;14;14;2;119;1;1;0;87;79;8;4.00;0;.908;83
704;36;3;4;175;0;3;0;99;87;12;4.09;0;.879;54
738;18;18;7;376;4;3;0;189;164;25;3.98;1;.868;60
762;25;25;7;421;3;4;0;246;217;29;4.13;0;.882;69
830;154;154;7;367;2;5;0;221;197;24;3.92;0;.891;64
863;62;62;4;238;2;2;0;109;97;12;3.02;1;.890;62
879;154;154;7;417;4;3;0;231;211;20;2.87;1;.913;79
889;152;152;1;46;0;0;0;30;28;2;2.60;0;.933;80
904;3;3;2;45;0;0;0;15;9;6;7.88;0;.600;30
929;124;124;7;423;3;3;1;225;202;23;3.26;1;.898;74
930;9;9;4;239;3;1;0;105;89;16;4.01;0;.848;54
933;19;19;7;417;3;4;0;237;219;18;2.59;0;.924;81
945;30;30;7;394;5;2;0;206;183;23;3.50;1;.888;64
982;28;28;1;48;0;0;0;25;23;2;2.50;0;.920;72
1044;17;17;1;11;0;0;0;11;10;1;5.30;0;.909;56
1064;3;3;7;375;2;4;1;238;210;28;4.47;0;.882;68
1130;62;62;5;250;2;3;0;154;140;14;3.35;0;.909;65
1242;53;8;4;241;2;1;1;157;150;7;1.74;2;.955;89
1247;20;20;7;411;2;5;0;229;206;23;3.35;0;.900;73
1300;20;20;1;5;0;0;0;2;2;0;0.00;0;1.000;51
1331;56;56;1;60;1;0;0;27;26;1;1.00;0;.963;78
1351;54;54;3;179;2;1;0;94;84;10;3.34;0;.894;64
1371;45;45;3;178;0;3;0;90;73;17;5.71;0;.811;35
1481;153;152;3;139;1;2;0;69;62;7;3.02;0;.899;59
1547;48;14;4;238;2;2;0;97;88;9;2.26;1;.907;67
1614;45;45;4;239;2;2;0;111;100;11;2.76;1;.901;66
1615;14;14;4;239;2;2;0;156;148;8;2.01;2;.949;90
1641;29;29;6;347;1;4;1;198;174;24;4.15;0;.879;64
1651;7;7;3;185;2;0;1;108;99;9;2.92;0;.917;81
1664;30;30;2;25;0;0;0;12;11;1;2.36;0;.917;53
1666;55;55;4;239;2;2;0;128;117;11;2.75;1;.914;78
1835;123;31;4;238;1;3;0;161;142;19;4.79;0;.882;61
1852;125;124;5;285;4;0;0;150;136;14;2.95;0;.907;72
1893;36;3;5;241;0;4;0;146;131;15;3.73;0;.897;68
1919;34;2;3;183;2;1;0;101;95;6;1.96;0;.941;85
1926;0;0;5;258;4;0;0;150;142;8;1.86;1;.947;85
1955;38;38;3;150;1;0;1;82;74;8;3.20;0;.902;66
2062;26;26;1;51;0;0;0;33;28;5;5.79;0;.848;53
2075;28;28;2;43;0;0;0;32;28;4;5.52;0;.875;55
2123;8;8;7;418;5;2;0;194;171;23;3.30;0;.881;65
2127;59;1;3;180;2;1;0;84;79;5;1.67;1;.940;73
2499;37;37;3;178;1;2;0;115;105;10;3.36;0;.913;76
2664;45;28;5;238;2;3;0;147;128;19;4.79;0;.871;58
2720;38;38;3;180;2;1;0;111;104;7;2.33;0;.937;81
2746;32;23;3;184;2;1;0;117;106;11;3.59;0;.906;77
2809;47;47;3;179;0;3;0;135;123;12;4.01;0;.911;82
2845;156;156;7;424;5;2;0;159;141;18;2.55;0;.887;63
2921;155;155;4;239;3;1;0;88;82;6;1.50;2;.932;76
2965;31;31;7;386;4;2;0;230;211;19;2.95;1;.917;77
3066;33;33;4;239;1;2;1;157;143;14;3.50;0;.911;75
3109;37;27;4;244;3;1;0;145;136;9;2.21;0;.938;86
3220;48;14;3;185;2;0;1;110;103;7;2.27;1;.936;83
3318;44;30;5;252;2;2;0;152;132;20;4.76;0;.868;56
3319;55;9;3;179;2;1;0;91;86;5;1.68;0;.945;83
3395;58;58;4;239;3;1;0;120;113;7;1.76;1;.942;82
3462;29;29;1;17;0;0;0;11;10;1;3.50;0;.909;56
3513;1;1;7;420;6;1;0;244;229;15;2.14;1;.939;88
3656;62;62;3;183;0;2;1;90;77;13;4.24;0;.856;55
3756;57;12;4;241;3;0;1;125;116;9;2.24;0;.928;77
3894;41;41;3;185;3;0;0;114;102;12;3.89;0;.895;68
4868;59;59;1;60;1;0;0;34;31;3;3.00;0;.912;65
5398;143;18;5;250;4;0;0;143;132;11;2.63;0;.923;71
5423;144;8;3;185;2;0;1;82;76;6;1.95;1;.927;74
5451;151;152;3;167;1;2;0;112;102;10;3.59;1;.911;79
5483;151;152;5;253;3;1;0;132;120;12;2.84;1;.909;65
5668;133;26;3;179;2;1;0;94;84;10;3.34;0;.894;63
5701;132;12;4;234;1;2;1;108;91;17;4.34;0;.843;48
5711;142;23;4;240;4;0;0;74;66;8;2.00;0;.892;61
5740;47;0;3;179;0;3;0;132;117;15;5.02;0;.886;65
5820;134;21;4;239;0;4;0;138;122;16;4.01;0;.884;64
5872;17;17;7;406;3;4;0;282;256;26;3.84;0;.908;81
5923;40;20;3;166;0;2;0;115;103;12;4.32;0;.896;70
