PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
0;18;18;12;556;4;6;0;292;259;33;3.56;0;.887;63
8;44;30;30;1723;15;12;2;875;785;90;3.13;3;.897;65
102;60;60;27;1510;12;13;1;821;743;78;3.10;1;.905;67
124;54;54;32;1898;20;10;1;905;827;78;2.46;4;.914;71
150;25;25;30;1661;9;19;1;985;878;107;3.86;0;.891;70
167;56;56;15;896;9;6;0;490;442;48;3.21;0;.902;69
283;41;41;27;1444;13;10;0;777;702;75;3.12;0;.903;67
294;50;26;4;238;1;3;0;103;92;11;2.77;0;.893;65
442;12;12;10;534;5;3;1;279;250;29;3.26;1;.896;68
443;7;7;19;1053;8;6;2;582;518;64;3.65;0;.890;68
455;60;60;4;217;2;1;0;114;101;13;3.59;0;.886;63
526;31;31;3;182;3;0;0;103;95;8;2.63;0;.922;83
530;12;12;30;1766;21;7;1;905;814;91;3.09;4;.899;73
536;27;27;19;1058;7;10;1;673;602;71;4.02;0;.895;71
540;21;21;27;1526;13;11;1;812;725;87;3.42;1;.893;68
567;24;24;22;1203;8;9;1;719;639;80;3.99;0;.889;68
613;38;25;34;1864;15;17;1;1187;1074;113;3.64;1;.905;70
650;53;53;16;840;8;5;0;530;484;46;3.29;0;.913;74
665;125;124;24;1361;8;15;1;879;790;89;3.92;0;.899;69
668;14;14;17;844;8;6;0;491;443;48;3.41;0;.902;69
690;154;154;29;1652;16;11;0;815;750;65;2.36;2;.920;76
703;1;1;17;1020;6;10;1;589;522;67;3.94;1;.886;68
704;3;3;1;59;0;1;0;39;34;5;5.08;0;.872;65
737;125;124;8;445;4;3;0;255;227;28;3.77;0;.890;62
738;18;18;30;1712;18;7;3;995;903;92;3.22;3;.908;76
762;25;25;15;847;3;9;1;541;487;54;3.83;0;.900;74
830;26;26;16;721;3;8;0;415;363;52;4.32;0;.875;61
862;2;2;26;1493;15;6;2;749;673;76;3.05;3;.899;69
863;62;62;20;1052;8;8;1;580;515;65;3.71;0;.888;61
864;33;29;27;1620;18;7;2;900;823;77;2.85;2;.914;73
879;154;154;17;959;8;8;0;503;447;56;3.50;0;.889;68
889;152;152;26;1417;5;14;3;827;728;99;4.19;0;.880;65
904;3;3;21;1256;11;9;1;752;679;73;3.49;2;.903;74
929;124;124;19;1086;5;10;3;574;519;55;3.04;0;.904;72
930;9;9;28;1614;19;8;1;870;791;79;2.94;3;.909;76
933;19;19;27;1523;11;14;0;793;712;81;3.19;2;.898;70
945;30;30;24;1398;16;5;2;599;556;43;1.85;2;.928;76
977;1;1;2;119;1;1;0;48;45;3;1.51;0;.938;78
982;28;28;29;1549;14;12;1;849;766;83;3.21;3;.902;71
1021;50;26;5;251;1;1;1;140;127;13;3.10;0;.907;62
1044;17;17;15;729;5;7;0;468;424;44;3.62;0;.906;71
1064;3;3;20;1144;9;9;1;681;609;72;3.77;0;.894;70
1130;40;40;17;979;6;7;3;592;536;56;3.43;0;.905;69
1218;18;18;5;257;1;3;0;140;116;24;5.59;0;.829;48
1222;27;27;24;1413;13;9;1;784;713;71;3.01;1;.909;77
1242;53;8;26;1471;10;13;2;918;835;83;3.38;2;.910;73
1247;20;20;18;1000;10;7;0;524;481;43;2.58;0;.918;75
1275;36;3;2;87;0;1;0;41;34;7;4.82;0;.829;43
1294;20;20;18;855;6;6;1;418;364;54;3.79;1;.871;58
1300;20;20;25;1469;13;10;1;798;719;79;3.22;1;.901;71
1331;56;56;10;599;9;1;0;282;261;21;2.10;2;.926;75
