PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
7;44;30;3;1;1;-2;2;0;0;0;0;0;0;3;0;0;2;68;64;68;5;3168;98;456;96.9;2.3;4.5;27.3;39.8;47;55;46.1;-7.3;32;45;41.6;-11.1;0;15;8
43;153;152;2;0;0;1;0;0;0;0;0;0;0;1;1;0;5;63;47;82;7;2192;0;129;103.6;1.6;0.0;46.0;18.1;41;24;63.1;3.3;33;14;70.2;9.9;0;0;0
107;62;19;3;0;0;-5;2;0;0;0;0;0;0;3;0;1;1;61;61;50;6;3265;29;139;84.4;0.0;5.5;25.4;35.3;43;52;45.3;-5.9;27;39;40.9;-10.5;0;0;0
129;34;2;3;0;1;-3;2;0;0;0;0;0;0;0;0;0;2;64;56;69;5;3062;205;106;90.2;1.2;4.7;23.5;31.7;35;54;39.3;-2.9;28;38;42.4;-1.0;0;0;0
143;41;7;3;2;1;-4;0;1;0;0;0;0;0;6;0;0;5;64;65;54;7;2869;496;0;96.6;2.5;7.5;17.6;42.7;23;60;27.7;-16.1;16;44;26.7;-19.3;0;8;4
192;44;44;2;0;0;-1;0;0;0;0;0;0;0;2;1;0;0;52;49;47;1;743;0;191;90.9;0.0;4.8;33.9;53.3;12;19;38.7;-11.6;8;14;36.4;-13.6;0;4;4
207;59;1;3;2;2;6;0;0;0;0;0;0;0;2;0;3;0;72;62;80;4;2222;0;25;123.8;11.3;1.6;37.3;24.3;31;30;50.8;8.3;25;19;56.8;13.1;0;34;20
234;50;26;3;0;4;0;0;0;1;0;0;0;0;4;2;0;6;65;57;70;8;2921;503;120;105.5;3.7;3.7;30.8;56.7;48;74;39.3;-1.0;32;57;36.0;-4.5;0;0;0
262;56;56;2;0;1;2;0;0;0;0;0;0;0;2;0;0;6;70;52;93;1;2330;0;235;111.8;3.1;0.0;26.3;21.6;28;25;52.8;12.6;22;18;55.0;15.7;0;0;0
332;44;30;1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;54;50;49;1;434;78;91;85.7;0.0;8.3;49.8;58.1;12;13;48.0;-6.0;9;11;45.0;-3.9;0;6;5
