PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
1;9;9;3;0;0;2;0;0;0;0;0;0;0;2;0;0;4;60;52;66;5;3294;0;62;102.8;2.2;1.1;32.8;28.4;49;45;52.1;0.3;33;32;50.8;0.0;0;0;0
7;44;30;7;4;3;2;2;0;0;0;0;0;0;3;1;3;6;67;65;62;12;6256;13;908;101.6;4.6;3.5;39.7;34.5;113;94;54.6;0.6;85;75;53.1;-0.9;1;18;11
16;14;14;6;0;2;4;2;0;0;0;0;0;0;5;3;5;9;58;50;67;7;6276;21;975;108.7;5.2;2.9;34.4;45.3;91;123;42.5;-6.4;71;95;42.8;-4.2;0;0;0
25;38;38;6;1;2;0;2;0;1;0;0;0;0;6;2;3;7;63;52;74;9;5452;870;737;106.5;2.0;2.0;17.2;39.0;47;114;29.2;-10.2;35;81;30.2;-10.0;0;0;0
30;1;1;6;1;2;6;2;0;0;0;0;0;0;5;1;3;12;60;52;68;9;5160;0;910;113.8;6.3;2.1;32.8;39.1;79;89;47.0;-0.2;56;64;46.7;-0.8;0;0;0
43;153;152;6;0;1;-1;2;0;0;0;0;0;0;8;4;0;14;56;49;64;11;5685;113;960;95.7;3.8;4.4;38.0;31.0;96;84;53.3;1.2;78;66;54.2;2.0;0;0;0
66;125;124;5;0;1;-4;2;0;0;0;0;0;0;4;0;2;18;67;54;80;5;5357;236;990;90.7;1.3;4.0;23.5;26.9;72;75;49.0;2.9;54;60;47.4;-0.2;0;0;0
74;60;18;7;0;4;-1;0;0;0;0;0;0;0;7;1;6;2;68;59;73;10;5875;82;614;96.5;3.1;3.7;39.2;32.5;112;91;55.2;3.6;91;66;58.0;5.5;0;9;4
82;28;28;6;0;3;-4;2;0;0;0;0;0;0;6;1;9;5;60;57;61;11;6358;15;422;91.2;3.4;5.7;39.1;32.3;109;84;56.5;3.4;80;68;54.1;-1.5;0;0;0
93;29;29;6;2;2;-1;8;0;1;0;0;0;0;9;2;0;2;68;72;57;8;5495;643;0;100.9;3.9;4.6;36.7;46.5;86;102;45.7;-11.8;62;79;44.0;-13.6;1;2;1
107;62;19;6;2;4;5;6;0;0;0;0;0;0;9;1;5;4;72;64;78;11;5475;114;914;108.7;4.6;1.3;33.5;26.3;84;66;56.0;2.0;64;51;55.7;1.9;0;15;6
110;38;25;6;0;2;0;2;0;0;0;0;0;0;10;3;2;22;61;48;76;4;5496;233;1082;110.9;4.6;4.6;20.3;39.3;63;115;35.4;-1.0;44;80;35.5;-2.2;0;0;0
112;48;14;7;4;2;1;2;2;0;0;0;0;0;6;1;4;8;70;67;69;29;5306;1422;0;102.2;2.7;2.0;29.2;28.5;90;85;51.4;-3.6;65;59;52.4;-2.4;0;2;1
118;54;10;7;2;3;-5;4;0;0;0;0;0;0;9;4;2;11;64;64;57;24;6354;1197;106;90.1;4.0;6.8;38.0;33.4;113;107;51.4;-4.1;84;83;50.3;-5.0;0;65;35
