PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
7;44;30;46;10;16;4;18;0;2;0;2;0;0;32;15;16;36;67;61;71;78;39555;2968;6533;100.1;2.6;2.5;27.4;26.8;588;561;51.2;0.1;432;412;51.2;0.9;3;202;119
16;14;14;54;3;11;13;15;0;0;0;1;1;0;71;17;40;102;61;51;71;79;57289;275;7656;101.8;3.4;2.7;34.9;34.1;886;867;50.5;-0.2;660;643;50.7;1.7;0;0;0
25;38;38;63;11;12;3;24;5;1;0;1;0;0;67;9;18;70;60;52;67;99;58341;6086;5919;102.1;2.8;2.7;30.1;36.0;855;1085;44.1;-1.1;658;793;45.3;0.5;0;0;0
30;1;1;62;0;12;6;16;0;0;0;0;0;0;54;13;31;98;57;51;64;55;51742;182;6707;100.7;3.8;3.4;32.4;31.2;709;739;49.0;2.6;543;507;51.7;4.5;0;0;0
43;153;152;59;13;10;34;87;0;0;0;1;0;0;98;11;16;74;63;51;76;117;57280;573;7855;100.7;4.1;2.0;39.2;20.7;1127;656;63.2;6.3;824;488;62.8;5.6;2;0;0
66;125;124;63;7;18;12;18;1;1;0;2;0;0;57;25;33;217;71;54;86;111;67108;4015;13350;102.1;3.4;2.8;30.7;31.3;1069;1069;50.0;3.5;797;808;49.7;4.3;1;0;0
74;60;18;64;6;18;-8;42;0;0;2;3;0;0;63;15;24;25;70;60;76;142;59340;502;9781;97.0;2.1;2.9;31.5;30.0;905;958;48.6;1.0;688;688;50.0;2.5;1;137;56
82;28;28;34;3;9;11;15;0;0;0;0;1;1;35;5;19;46;60;55;63;68;31639;75;2198;102.0;4.2;3.1;36.8;32.5;530;450;54.1;1.1;380;331;53.4;-0.2;1;0;0
93;29;29;67;14;31;11;14;2;4;0;0;0;0;63;59;45;18;73;78;64;127;62395;7072;13;102.2;3.8;2.9;35.2;33.3;1030;975;51.4;-0.3;732;681;51.8;0.7;1;16;6
107;62;19;54;20;15;1;22;3;1;1;0;0;0;66;12;14;50;68;64;68;134;48592;4464;3924;97.4;3.9;3.8;34.5;27.4;876;687;56.0;2.3;641;531;54.7;1.4;2;56;24
110;38;25;67;2;10;-4;42;0;0;0;0;0;0;83;18;31;158;61;49;74;45;66950;615;13502;100.5;2.7;3.0;26.8;31.5;942;1089;46.4;1.7;691;825;45.6;0.2;1;0;0
112;48;14;65;21;29;-9;16;14;11;0;0;0;0;66;18;12;48;68;66;65;204;49797;18661;165;97.9;2.8;3.4;32.2;31.4;797;804;49.8;1.0;597;591;50.3;1.0;0;69;34
117;154;154;52;4;13;1;16;0;0;0;0;0;0;64;42;12;13;61;59;60;68;31809;298;204;100.6;2.2;2.0;28.2;29.0;414;413;50.1;1.7;296;309;48.9;-0.7;1;0;0
118;54;10;24;9;13;-2;19;3;5;0;0;1;0;37;9;5;20;70;66;71;86;20323;6848;91;99.7;3.0;2.8;30.1;27.5;318;277;53.4;2.8;232;200;53.7;3.7;1;245;114
128;12;12;27;2;8;-4;4;0;1;0;1;0;0;15;11;10;2;58;55;58;17;15555;1102;662;93.5;3.5;4.4;40.0;28.9;277;199;58.2;1.0;199;146;57.7;1.1;0;167;96
