StaffId;Executive;Manager;Coach;Scout;Trainer;Off Pref;Phy Pref;Line Matching;Goalie Handling;Favor Veterans;Innovation;Loyalty;Coaching G;Coaching Defense;Coaching Forwards;Coaching Prospects;Def Skills;Off Skills;Phy Training;Player Management;Motivation;Discipline;Negotiating;Self-Preservation;Tactics;Ingame Tactics;Trainer Skill;Evaluate Abilities;Evaluate Potential
0;0;0;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;17;13;14;17;13;16;14;11;12;10;10;14;15;0;;12;14
1;1;10;16;20;1;Standard;Balanced;Passive;Balanced;Balanced;Conservative;Loyal;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1
2;1;15;20;15;1;Defensive;Non-physical;Passive;Conservative;Prefers Veterans;Conservative;Ruthless;16;16;16;14;15;15;12;16;15;15;14;16;16;15;0;;16;12
3;0;15;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;14;17;17;15;16;16;17;15;13;15;14;15;13;0;;15;13
4;0;0;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;20;12;16;18;16;15;11;11;10;10;13;14;0;;15;13
5;0;0;20;15;1;Standard;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;11;15;18;11;13;17;17;19;12;13;10;14;16;17;0;;15;13
6;1;14;20;15;1;Defensive;Physical;Balanced;Balanced;Prefers Veterans;Conservative;Balanced;13;16;15;13;16;13;17;15;16;18;13;16;16;15;0;;15;13
7;1;10;20;15;1;Defensive;Balanced;Balanced;Aggressive;Balanced;Balanced;Loyal;11;17;14;16;16;15;15;17;9;12;12;10;15;15;0;;12;15
8;1;13;20;15;1;Standard;Balanced;Aggressive;Conservative;Balanced;Conservative;Balanced;15;19;17;14;19;13;15;19;18;17;12;16;19;18;0;;16;12
9;0;12;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;15;15;15;15;19;15;16;15;13;10;14;15;15;0;;14;12
10;0;0;20;15;1;Offensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;12;15;19;11;18;13;17;14;12;12;10;13;14;15;0;;13;11
11;0;0;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;12;19;15;14;17;12;16;11;8;10;11;15;16;0;;14;12
12;1;11;20;15;1;Defensive;Physical;Aggressive;Balanced;Prefers Veterans;Conservative;Ruthless;12;14;17;14;15;17;15;18;17;17;12;14;16;20;0;;16;12
13;1;15;20;15;1;Standard;Physical;Passive;Aggressive;Balanced;Balanced;Balanced;13;14;17;15;14;17;16;12;15;14;11;14;15;15;0;;16;14
14;0;15;18;20;1;Defensive;Physical;Aggressive;Aggressive;Prefers Veterans;Conservative;Balanced;11;16;15;11;18;12;15;19;16;18;20;18;15;16;0;;16;12
15;0;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;15;12;10;10;10;15;10;11;14;11;12;10;0;;20;17
16;0;10;20;17;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;20;12;14;16;11;19;16;12;14;10;14;14;14;0;;15;12
17;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;11;10;10;12;10;10;10;0;;10;10
18;0;15;13;20;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;12;12;11;9;11;12;12;14;16;14;16;16;9;10;0;;20;16
19;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;14;9;6;14;10;10;7;10;10;9;10;10;10;0;;9;14
20;0;15;10;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;8;12;10;12;13;8;12;15;14;18;14;9;11;0;;17;13
21;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
