TeamId;ES L1 LW;ES L1 C;ES L1 RW;ES L1 LD;ES L1 RD;ES L2 LW;ES L2 C;ES L2 RW;ES L2 LD;ES L2 RD;ES L3 LW;ES L3 C;ES L3 RW;ES L3 LD;ES L3 RD;ES L4 LW;ES L4 C;ES L4 RW;ES L4 LD;ES L4 RD;PP5on4 L1 LW;PP5on4 L1 C;PP5on4 L1 RW;PP5on4 L1 LD;PP5on4 L1 RD;PP5on4 L2 LW;PP5on4 L2 C;PP5on4 L2 RW;PP5on4 L2 LD;PP5on4 L2 RD;PP5on3 L1 LW;PP5on3 L1 C;PP5on3 L1 RW;PP5on3 L1 LD;PP5on3 L1 RD;PP5on3 L2 LW;PP5on3 L2 C;PP5on3 L2 RW;PP5on3 L2 LD;PP5on3 L2 RD;PP4on3 L1 F1;PP4on3 L1 F2;PP4on3 L1 LD;PP4on3 L1 RD;PP4on3 L2 F1;PP4on3 L2 F2;PP4on3 L2 LD;PP4on3 L2 RD;PK4on5 L1 F1;PK4on5 L1 F2;PK4on5 L1 LD;PK4on5 L1 RD;PK4on5 L2 F1;PK4on5 L2 F2;PK4on5 L2 LD;PK4on5 L2 LD;PK4on5 L3 F1;PK4on5 L3 F2;PK4on5 L3 LD;PK4on5 L3 LD;PK3on5 L1 F1;PK3on5 L1 LD;PK3on5 L1 RD;PK3on5 L2 F1;PK3on5 L2 LD;PK3on5 L2 LD;PK3on4 L1 F1;PK3on4 L1 LD;PK3on4 L1 RD;PK3on4 L2 F1;PK3on4 L2 LD;PK3on4 L2 LD;4on4 L1 F1;4on4 L1 F2;4on4 L1 LD;4on4 L1 RD;4on4 L2 F1;4on4 L2 F2;4on4 L2 LD;4on4 L2 LD;3on3 L1 F1;3on3 L1 LD;3on3 L1 RD;3on3 L2 F1;3on3 L2 LD;3on3 L2 LD;Shootout 1;Shootout 2;Shootout 3;Shootout 4;Shootout 5;Goalie 1;Goalie 2;Extra Attacker 1;Extra Attacker 2;
0;5863;1391;6172;1400;949;1842;7606;6244;5885;7019;6660;5735;618;554;1019;6994;1751;6315;;;5863;;7606;5885;1400;1842;1391;6244;5735;949;5863;;7606;5885;554;1842;1391;6244;5735;949;5863;7606;1842;5885;;;6660;554;1391;7606;949;7019;1751;618;1400;1019;6244;5735;554;5885;1391;949;7019;7606;1400;1019;1391;949;7019;7606;1400;1019;5863;7606;5885;1400;1391;1842;949;554;5863;7606;1400;1391;1842;5885;;;618;6244;5863;6446;1926;7606;5863;
1;8169;7612;3299;6498;7613;6360;6226;7611;6012;6528;6465;6361;6468;6549;7031;6522;6032;7070;;;8169;7612;3299;6468;7613;6360;6226;7611;6012;6528;8169;7612;3299;6468;7613;6360;6226;7611;6012;6528;7612;8169;7611;7613;6226;6360;6468;6528;6361;6465;6498;6549;6226;6522;6012;6528;6468;6360;7613;7031;6361;6498;6549;6226;6012;6528;6361;6498;6549;6226;6012;6528;7612;8169;6498;7613;6226;6360;6012;6528;7612;6498;7613;6226;6012;6528;8169;3299;7612;7613;6360;977;3513;8169;7612;
2;7063;7605;6344;7615;5859;1359;1851;1764;6458;1999;5182;6605;8182;1763;5383;1648;689;5730;;;7063;7605;6344;5859;7615;1359;1851;1764;689;5383;7063;7605;6344;5859;7615;1359;1851;1764;689;5383;7605;7063;5859;6458;689;1359;1763;5383;1851;5730;7615;1999;7605;7063;1763;5383;;;;;1851;1763;1999;7605;7615;5859;1851;1763;1999;7605;7615;5859;1359;7063;6458;5859;1648;7605;1763;5383;1359;7063;5859;1648;7605;6458;7063;6344;7605;5730;1764;5935;862;7063;1359;
3;802;1029;2526;962;5866;2005;6470;1007;2731;6336;5632;6439;5867;6462;5966;153;882;881;;;802;1029;2526;5866;882;1007;6470;5867;2731;2005;802;1029;2526;5866;882;1007;6470;5867;2731;2005;802;2526;1007;5866;1029;6470;2005;6336;1029;6439;6462;6336;802;6470;962;5966;882;2526;2731;5866;6470;6462;6336;6439;962;5966;6470;6462;6336;6439;962;5966;1029;2526;962;5866;1007;6470;2731;6336;2526;802;5866;6470;1007;2731;1029;2526;802;1007;6470;1064;704;2526;5867;
7;1273;5865;6431;8739;1595;5861;5896;1769;475;2092;7619;766;1385;6567;5441;5878;6452;5422;;;1273;5896;1769;5861;8739;7619;5865;1385;475;1595;5861;1273;1769;5896;8739;7619;5865;1385;475;1595;1769;1273;5861;8739;1385;5896;1595;475;766;5878;6567;1595;5865;6431;5441;2092;7619;5422;8739;475;5878;6567;1595;766;5441;2092;5878;6567;1595;766;5441;2092;1769;1273;1595;2092;5865;6431;8739;475;1769;1273;1595;5865;6431;8739;1769;5422;1273;6431;5896;1651;443;6431;5896;
8;5908;6432;430;1724;5858;861;6137;522;1506;5682;5618;5969;1425;5516;1187;5704;7618;6240;;;5908;6432;430;1724;5516;861;6137;522;1506;5858;5908;6432;430;1724;5516;861;6137;522;1506;5858;6432;5908;430;1724;522;6137;861;5516;1425;;1187;5858;;5618;1724;5682;6432;5908;5516;1506;1425;1187;5858;;1724;5682;1425;1187;5858;;1724;5682;5908;6432;1724;5858;6137;430;5516;5682;6432;5908;1724;6137;430;5858;5908;1724;522;430;6432;2123;5430;6432;5908;
9;6191;1773;1292;853;1393;5881;6447;512;1340;6550;5951;2827;;1456;5653;5391;5894;1760;;;5881;1773;6191;1393;1292;512;5951;;1340;6550;5881;1773;6191;1393;1292;512;5951;;1340;6550;6191;1773;1393;1292;5881;512;1340;6550;6447;1773;1340;853;5391;;6550;1393;1760;5894;1456;5653;1773;1340;853;6447;1456;5653;1773;1340;853;6447;1456;5653;1292;1773;853;1393;5881;512;1340;6550;1292;1773;1393;5881;512;1340;1773;1292;6191;5881;512;5934;930;6191;512;
10;1902;5899;1398;6441;5954;729;6440;1201;5626;6359;5874;1808;1954;1672;2033;875;5897;815;;;1902;5899;1201;5954;6359;5874;6440;1398;5626;1954;1902;5899;1201;5954;6359;5874;6440;1398;5626;1954;1902;1201;6359;5954;1954;1398;5899;;1808;1954;6441;5954;6440;5874;5626;2033;5899;5897;6359;1672;1808;6441;5954;6440;5626;2033;1808;6441;5954;6440;5626;2033;1954;5899;5626;5954;1902;1201;6441;6359;1902;5899;5954;1398;6440;6359;5899;1954;1902;1201;6440;2689;1681;5899;1902;
12;6399;823;916;1128;697;5726;5498;839;2017;6719;878;8175;128;3887;398;5495;6826;1712;;;128;823;839;5495;1128;878;5498;916;5726;697;128;823;;5495;1128;878;5498;916;5726;697;;6399;5495;1128;839;823;697;2017;916;823;2017;398;6399;1712;6719;697;878;5498;5726;1128;823;2017;398;6399;6719;697;823;2017;398;6399;6719;697;;6399;5495;1128;839;823;697;2017;5495;6399;1128;;823;697;6399;128;839;823;5726;530;442;6399;823;
14;1424;6507;6459;5460;305;6449;867;6322;1255;1279;1134;1413;1073;5873;16;1841;1434;764;;;6449;6507;6322;1134;1255;1424;867;1073;1279;305;6449;6507;6322;1134;1255;1424;867;1073;1279;305;6449;6322;1134;1255;1073;6507;1424;1279;1413;6459;5873;16;1073;6507;5460;305;1424;867;1255;1279;6459;5873;16;1413;5460;305;6459;5873;16;1413;5460;305;6459;6507;5460;305;1073;6322;5873;1279;6459;6507;305;1073;6322;5460;1424;6507;1134;6459;6449;1615;668;6459;6507;
