League Id;Team Id;Conf Id;Div Id;Wins;Losses;Ties;OTL;Shootout Wins;Shootout Losses;Points;Goals For;Goals Against;PCT
0;0;1;0;27;35;0;4;2;1;59;210;246;.440
0;1;0;0;29;31;0;4;0;2;64;230;237;.485
0;2;1;1;37;26;0;5;1;0;79;255;213;.581
0;3;1;0;35;27;0;4;1;1;75;238;233;.560
0;7;0;1;36;24;0;4;1;3;79;260;240;.590
0;8;1;1;43;22;0;1;2;1;88;274;232;.657
0;9;0;0;42;23;0;1;3;1;86;266;197;.642
0;10;0;0;32;30;0;3;3;2;69;187;226;.515
0;12;0;1;44;18;0;1;2;3;92;266;211;.697
0;14;1;1;39;24;0;3;1;0;81;264;225;.614
0;17;1;1;22;39;0;4;1;1;49;168;236;.371
0;18;0;1;36;24;0;5;3;1;78;256;235;.591
0;19;1;1;31;30;0;3;1;1;66;210;216;.508
0;20;0;0;35;31;0;2;3;0;72;232;229;.529
0;21;0;1;37;26;0;1;1;1;76;235;216;.585
0;23;0;0;34;26;0;3;1;4;75;209;212;.560
0;24;0;0;30;30;0;6;0;1;67;220;242;.500
0;25;1;0;24;39;0;2;0;2;52;214;261;.388
0;26;1;1;20;47;0;2;1;0;42;182;277;.304
0;27;1;0;30;31;0;3;3;3;66;238;246;.493
0;28;1;0;42;22;0;0;3;3;87;260;235;.649
0;29;0;1;39;18;0;6;2;4;88;267;220;.657
0;30;1;1;45;14;0;3;1;3;96;203;141;.738
0;31;1;0;37;27;0;2;3;4;80;253;252;.571
0;124;0;1;31;30;0;3;0;3;68;263;244;.507
0;152;0;1;16;44;0;7;3;1;40;154;261;.294
0;154;1;0;30;33;0;4;4;0;64;169;200;.478
1;32;0;1;31;32;0;0;7;5;67;218;253;.493
1;33;0;1;31;31;0;3;4;1;66;213;212;.500
1;34;0;0;30;29;0;2;2;5;67;213;227;.508
1;36;1;1;24;39;0;0;5;4;52;173;250;.388
1;37;0;0;27;33;0;1;1;6;61;190;224;.455
1;38;1;0;29;32;0;5;2;2;65;217;232;.478
1;40;1;0;23;36;0;3;3;5;54;205;257;.403
1;41;1;0;38;24;0;3;3;2;81;215;212;.604
1;43;1;1;31;30;0;4;3;3;69;223;241;.507
1;44;1;1;33;26;0;3;5;4;73;217;200;.553
1;45;1;1;39;25;0;2;5;3;83;248;216;.601
1;47;0;1;14;43;0;4;3;6;38;171;299;.284
