TeamId;GP;G;GA;S;SA;FO%;SB;H;TkA;GvA;InD;PIM/G;PP Ch;PPG;SH GA;SH Ch;PP GA;SHG;Att Total Home;Att Total Away;Att Avg Home;Att Avg Away;Sellouts Home;Sellouts Away;Capacity Use %
0;82;262;297;2608;2748;50.1;1211;1427;841;919;264;6.63;175;29;7;188;34;13;784667;698949;19138;17047;8;9;90
1;82;279;299;2795;2786;48.8;1410;1452;852;996;146;6.99;178;33;10;203;39;13;834083;681574;20343;16623;21;4;100
2;82;300;258;2803;2422;47.3;1168;1917;822;911;107;7.49;244;41;3;231;31;5;767792;700198;18726;17078;15;11;98
3;82;301;284;2850;2888;51.9;1347;1409;839;965;57;6.50;184;27;8;197;38;7;783286;687819;19104;16776;17;5;99
7;82;322;280;2930;2753;50.8;1221;1359;848;948;183;6.50;204;51;12;212;37;8;732009;681874;17853;16631;7;5;94
8;82;323;279;3177;2607;53.6;1082;2038;863;968;81;6.49;209;46;4;191;47;2;794610;705243;19380;17201;11;9;95
9;82;314;254;2931;2549;49.7;1227;1840;832;900;450;6.76;215;31;6;215;43;16;675010;767416;16463;18717;1;19;88
10;82;230;278;2457;2842;49.4;1106;1549;813;1005;481;6.17;225;51;9;185;37;4;611804;712400;14922;17375;0;12;76
12;82;319;254;3081;2562;53.0;1050;1657;849;915;523;6.90;207;37;8;217;31;17;783311;701182;19105;17102;24;9;101
14;82;319;268;2976;2912;48.9;1195;1718;849;1000;256;6.98;198;52;3;213;31;5;627437;714158;15303;17418;1;9;89
17;82;213;293;2396;3042;49.1;1236;1704;855;1054;213;6.45;173;20;5;180;26;6;688618;682326;16795;16642;28;5;102
18;82;325;291;2942;2766;48.1;1127;1917;801;965;161;7.61;210;27;2;216;42;9;605074;694953;14757;16950;0;9;78
19;82;256;263;2349;2635;50.5;1214;1896;729;911;73;7.22;198;35;15;230;53;12;554620;704494;13527;17182;0;7;75
20;82;273;276;2718;2792;52.3;1218;1344;994;1059;147;6.66;265;53;14;220;46;10;1151297;681436;28080;16620;0;10;59
21;82;305;275;2810;2549;47.4;1232;1758;924;916;360;7.88;229;47;11;241;39;11;697372;706925;17009;17242;5;8;96
23;82;260;262;2916;2509;49.8;1176;1778;901;1076;70;7.93;219;42;7;254;43;9;629729;690557;15359;16842;0;8;80
